['501', 'Howard', '1', '5', '20210512 05:00:26']
['503', 'South Boulevard', '1', '1', '20210512 05:00:26']
['501', 'Howard', '1', '5', '20210512 05:01:35']
['503', 'Main', '1', '1', '20210512 05:01:01']
['501', 'Wilson', '0', '5', '20210512 05:11:12']
['503', 'Dempster', '0', '1', '20210512 05:03:24']
['501', 'Wilson', '0', '5', '20210512 05:11:12']
['503', 'Davis', '0', '1', '20210512 05:04:37']
['501', 'Wilson', '0', '5', '20210512 05:11:12']
['503', 'Davis', '1', '1', '20210512 05:04:30']
['501', 'Wilson', '0', '5', '20210512 05:11:12']
['503', 'Foster', '0', '1', '20210512 05:05:46']
['501', 'Wilson', '0', '5', '20210512 05:11:12']
['502', 'Central', '1', '5', '20210512 05:06:09']
['503', 'Noyes', '1', '1', '20210512 05:06:15']
['501', 'Wilson', '0', '5', '20210512 05:11:12']
['502', 'Central', '1', '5', '20210512 05:06:57']
['503', 'Central', '0', '1', '20210512 05:08:10']
['501', 'Wilson', '0', '5', '20210512 05:11:12']
['502', 'Davis', '1', '5', '20210512 05:07:55']
['503', 'Linden', '0', '1', '20210512 05:09:26']
['501', 'Wilson', '0', '5', '20210512 05:11:12']
['502', 'Davis', '1', '5', '20210512 05:09:08']
['503', 'Linden', '0', '1', '20210512 05:09:26']
['501', 'Wilson', '0', '5', '20210512 05:11:12']
['502', 'Davis', '1', '5', '20210512 05:10:16']
['503', 'Linden', '1', '1', '20210512 05:09:52']
['1000', 'South Boulevard', '1', '1', '20210512 05:11:24']
['501', 'Wilson', '0', '5', '20210512 05:11:12']
['502', 'Davis', '1', '5', '20210512 05:11:01']
['501', 'Main', '1', '1', '20210512 05:12:25']
['502', 'Dempster', '0', '5', '20210512 05:13:28']
['501', 'Dempster', '0', '1', '20210512 05:14:21']
['502', 'Dempster', '0', '5', '20210512 05:13:28']
['501', 'Dempster', '1', '1', '20210512 05:14:23']
['502', 'Main', '0', '5', '20210512 05:15:00']
['501', 'Davis', '1', '1', '20210512 05:15:39']
['502', 'South Boulevard', '1', '5', '20210512 05:15:23']
['501', 'Foster', '0', '1', '20210512 05:16:53']
['502', 'Howard', '1', '5', '20210512 05:16:37']
['501', 'Noyes', '1', '1', '20210512 05:17:38']
