['514', 'Chicago', '5', '20210504 15:05:35']
['515', 'Fullerton', '5', '20210504 15:05:28']
['518', 'Main', '5', '20210504 15:04:51']
['513', 'Clark/Lake', '1', '20210504 15:06:19']
['518', 'South Boulevard', '5', '20210504 15:06:24']
['508', 'Linden', '1', '20210504 15:07:39']
['514', 'Merchandise Mart', '5', '20210504 15:07:35']
['515', 'Armitage', '5', '20210504 15:07:34']
['518', 'Howard', '5', '20210504 15:07:37']
['519', 'Sheridan', '5', '20210504 15:07:00']
['513', 'Merchandise Mart', '1', '20210504 15:08:16']
['515', 'North/Clybourn', '5', '20210504 15:08:37']
['518', 'Howard', '5', '20210504 15:07:37']
['519', 'Sheridan', '5', '20210504 15:08:26']
['520', 'Central', '5', '20210504 15:08:21']
['520', 'Central', '5', '20210504 15:09:15']
['513', 'Chicago', '1', '20210504 15:10:26']
['515', 'Clark/Division', '5', '20210504 15:10:33']
['514', 'State/Lake', '5', '20210504 15:11:55']
['515', 'Sedgwick', '5', '20210504 15:11:43']
['520', 'Davis', '5', '20210504 15:11:56']
['514', 'State/Lake', '5', '20210504 15:12:22']
['515', 'Sedgwick', '5', '20210504 15:12:33']
['519', 'Belmont', '5', '20210504 15:12:16']
['520', 'Davis', '5', '20210504 15:12:36']
['507', 'Main', '1', '20210504 15:13:23']
['513', 'Sedgwick', '1', '20210504 15:13:39']
['519', 'Belmont', '5', '20210504 15:13:29']
['520', 'Davis', '5', '20210504 15:13:23']
['507', 'Main', '1', '20210504 15:14:26']
['514', 'Washington/Wabash', '5', '20210504 15:14:31']
['515', 'Chicago', '5', '20210504 15:14:38']
['519', 'Wellington', '5', '20210504 15:13:57']
['520', 'Davis', '5', '20210504 15:14:32']
['507', 'Dempster', '1', '20210504 15:14:53']
['514', 'Adams/Wabash', '5', '20210504 15:15:19']
['515', 'Chicago', '5', '20210504 15:15:37']
['519', 'Diversey', '5', '20210504 15:15:39']
['520', 'Dempster', '5', '20210504 15:14:53']
['519', 'Diversey', '5', '20210504 15:16:18']
['520', 'Main', '5', '20210504 15:16:26']
['513', 'Armitage', '1', '20210504 15:17:27']
['514', 'Harold Washington Library-State/Van Buren', '5', '20210504 15:17:32']
['515', 'Merchandise Mart', '5', '20210504 15:17:12']
['518', 'Wilson', '5', '20210504 15:17:36']
['520', 'Main', '5', '20210504 15:17:26']
['514', 'LaSalle/Van Buren', '5', '20210504 15:18:08']
['518', 'Wilson', '5', '20210504 15:18:31']
['520', 'South Boulevard', '5', '20210504 15:18:18']
['507', 'Noyes', '1', '20210504 15:19:11']
['513', 'Fullerton', '1', '20210504 15:19:33']
['514', 'Quincy', '5', '20210504 15:19:15']
['519', 'Armitage', '5', '20210504 15:19:39']
['520', 'Howard', '5', '20210504 15:19:01']
['522', 'Central', '5', '20210504 15:19:37']
['514', 'Washington/Wells', '5', '20210504 15:20:35']
['522', 'Central', '5', '20210504 15:20:23']
['513', 'Diversey', '1', '20210504 15:21:15']
['514', 'Washington/Wells', '5', '20210504 15:21:36']
['515', 'Clark/Lake', '5', '20210504 15:21:15']
['518', 'Sheridan', '5', '20210504 15:20:52']
['513', 'Wellington', '1', '20210504 15:22:24']
['514', 'Merchandise Mart', '1', '20210504 15:22:39']
['515', 'State/Lake', '5', '20210504 15:22:06']
['522', 'Davis', '5', '20210504 15:22:38']
['507', 'Linden', '1', '20210504 15:23:46']
['509', 'Main', '1', '20210504 15:23:20']
['513', 'Belmont', '1', '20210504 15:23:53']
['514', 'Merchandise Mart', '1', '20210504 15:23:57']
['515', 'Washington/Wabash', '5', '20210504 15:23:58']
['519', 'Sedgwick', '5', '20210504 15:23:57']
['522', 'Davis', '5', '20210504 15:23:45']
['509', 'Main', '1', '20210504 15:24:16']
['513', 'Belmont', '1', '20210504 15:24:36']
['514', 'Merchandise Mart', '1', '20210504 15:23:57']
['515', 'Adams/Wabash', '5', '20210504 15:24:39']
['522', 'Davis', '5', '20210504 15:24:26']
['509', 'Dempster', '1', '20210504 15:25:37']
['515', 'Adams/Wabash', '5', '20210504 15:25:34']
['522', 'Davis', '5', '20210504 15:25:28']
['514', 'Chicago', '1', '20210504 15:26:23']
['519', 'Chicago', '5', '20210504 15:26:38']
