['514', 'Dempster', '1', '20210428 14:00:17']
['517', 'Howard', '5', '20210428 14:00:07']
['518', 'Davis', '5', '20210428 14:02:33']
['518', 'Davis', '5', '20210428 14:03:29']
['518', 'Davis', '5', '20210428 14:04:35']
['514', 'Noyes', '1', '20210428 14:05:35']
['518', 'Main', '5', '20210428 14:06:20']
['514', 'Central', '1', '20210428 14:07:27']
['518', 'Main', '5', '20210428 14:07:21']
['518', 'South Boulevard', '5', '20210428 14:08:12']
['514', 'Linden', '1', '20210428 14:09:13']
['518', 'Howard', '5', '20210428 14:08:50']
['519', 'South Boulevard', '1', '20210428 14:09:24']
['513', 'Central', '5', '20210428 14:10:08']
['519', 'Main', '1', '20210428 14:09:57']
['513', 'Central', '5', '20210428 14:10:56']
['519', 'Dempster', '1', '20210428 14:11:21']
['519', 'Dempster', '1', '20210428 14:12:18']
['513', 'Davis', '5', '20210428 14:13:13']
['513', 'Davis', '5', '20210428 14:14:20']
['513', 'Davis', '5', '20210428 14:14:57']
['519', 'Noyes', '1', '20210428 14:15:24']
['513', 'Dempster', '5', '20210428 14:16:21']
['513', 'Main', '5', '20210428 14:17:37']
['519', 'Central', '1', '20210428 14:17:33']
['513', 'Main', '5', '20210428 14:17:48']
['513', 'South Boulevard', '5', '20210428 14:19:39']
['519', 'Linden', '1', '20210428 14:18:47']
['513', 'Howard', '5', '20210428 14:20:17']
['518', 'South Boulevard', '1', '20210428 14:22:11']
['518', 'Main', '1', '20210428 14:22:46']
['518', 'Dempster', '1', '20210428 14:24:13']
['514', 'Central', '5', '20210428 14:25:39']
['514', 'Central', '5', '20210428 14:26:28']
['518', 'Davis', '1', '20210428 14:26:28']
['513', 'Wilson', '5', '20210428 14:28:38']
['518', 'Noyes', '1', '20210428 14:28:17']
['514', 'Davis', '5', '20210428 14:29:32']
['514', 'Davis', '5', '20210428 14:30:27']
['513', 'Sheridan', '5', '20210428 14:31:11']
['514', 'Davis', '5', '20210428 14:31:35']
['513', 'Sheridan', '5', '20210428 14:32:39']
['514', 'Dempster', '5', '20210428 14:31:57']
['518', 'Linden', '1', '20210428 14:31:49']
['514', 'Main', '5', '20210428 14:33:32']
['514', 'Main', '5', '20210428 14:34:38']
['520', 'South Boulevard', '1', '20210428 14:34:34']
['514', 'South Boulevard', '5', '20210428 14:35:29']
['520', 'Main', '1', '20210428 14:35:09']
['513', 'Belmont', '5', '20210428 14:36:39']
['514', 'Howard', '5', '20210428 14:36:10']
['515', 'Central', '5', '20210428 14:36:38']
['520', 'Main', '1', '20210428 14:36:16']
['513', 'Wellington', '5', '20210428 14:37:35']
['515', 'Central', '5', '20210428 14:37:27']
['520', 'Dempster', '1', '20210428 14:36:41']
['513', 'Diversey', '5', '20210428 14:38:31']
['520', 'Davis', '1', '20210428 14:39:31']
['513', 'Fullerton', '5', '20210428 14:40:33']
['515', 'Davis', '5', '20210428 14:40:22']
['513', 'Armitage', '5', '20210428 14:41:34']
['515', 'Davis', '5', '20210428 14:41:16']
['520', 'Noyes', '1', '20210428 14:41:23']
['515', 'Davis', '5', '20210428 14:42:28']
['515', 'Dempster', '5', '20210428 14:42:47']
['514', 'Wilson', '5', '20210428 14:44:38']
['515', 'Dempster', '5', '20210428 14:42:47']
['519', 'Central', '5', '20210428 14:44:31']
['514', 'Wilson', '5', '20210428 14:45:38']
['515', 'Dempster', '5', '20210428 14:42:47']
['519', 'Central', '5', '20210428 14:45:30']
['520', 'Linden', '1', '20210428 14:44:57']
['513', 'Sedgwick', '5', '20210428 14:46:31']
['515', 'Dempster', '5', '20210428 14:42:47']
['514', 'Sheridan', '5', '20210428 14:47:33']
['515', 'Dempster', '5', '20210428 14:42:47']
['506', 'Main', '1', '20210428 14:48:32']
['514', 'Sheridan', '5', '20210428 14:47:42']
['515', 'Dempster', '5', '20210428 14:42:47']
['519', 'Davis', '5', '20210428 14:48:23']
['506', 'Main', '1', '20210428 14:49:37']
['513', 'Chicago', '5', '20210428 14:49:26']
['515', 'Dempster', '5', '20210428 14:42:47']
['519', 'Davis', '5', '20210428 14:48:58']
['506', 'Dempster', '1', '20210428 14:50:01']
['515', 'Dempster', '5', '20210428 14:42:47']
['519', 'Davis', '5', '20210428 14:49:41']
['513', 'Merchandise Mart', '5', '20210428 14:51:37']
['515', 'Main', '5', '20210428 14:50:56']
['519', 'Dempster', '5', '20210428 14:51:19']
['506', 'Davis', '1', '20210428 14:52:33']
['513', 'Merchandise Mart', '5', '20210428 14:52:18']
['514', 'Wellington', '5', '20210428 14:52:13']
['515', 'South Boulevard', '5', '20210428 14:52:16']
['519', 'Dempster', '5', '20210428 14:51:19']
['514', 'Diversey', '5', '20210428 14:53:29']
['515', 'Howard', '5', '20210428 14:53:26']
['519', 'Main', '5', '20210428 14:52:52']
['506', 'Noyes', '1', '20210428 14:54:25']
['514', 'Diversey', '5', '20210428 14:54:29']
['515', 'Howard', '5', '20210428 14:54:35']
['519', 'South Boulevard', '5', '20210428 14:54:14']
['513', 'State/Lake', '5', '20210428 14:55:31']
['514', 'Fullerton', '5', '20210428 14:55:12']
['519', 'Howard', '5', '20210428 14:55:31']
['506', 'Central', '1', '20210428 14:56:28']
['518', 'Central', '5', '20210428 14:56:01']
['519', 'Howard', '5', '20210428 14:56:37']
['513', 'Adams/Wabash', '5', '20210428 14:57:39']
['514', 'Armitage', '5', '20210428 14:57:37']
['518', 'Central', '5', '20210428 14:57:02']
['506', 'Linden', '1', '20210428 14:58:18']
['513', 'Adams/Wabash', '5', '20210428 14:58:37']
['513', 'Harold Washington Library-State/Van Buren', '5', '20210428 14:59:33']
['518', 'Davis', '5', '20210428 14:59:20']
['513', 'LaSalle/Van Buren', '5', '20210428 15:00:27']
['518', 'Davis', '5', '20210428 15:00:24']
['508', 'South Boulevard', '1', '20210428 15:01:32']
['513', 'LaSalle/Van Buren', '5', '20210428 15:01:07']
['515', 'Wilson', '5', '20210428 15:01:39']
['518', 'Davis', '5', '20210428 15:01:36']
['508', 'Main', '1', '20210428 15:02:06']
['513', 'Quincy', '5', '20210428 15:02:32']
['518', 'Davis', '5', '20210428 15:01:36']
['508', 'Dempster', '1', '20210428 15:03:38']
['513', 'Washington/Wells', '5', '20210428 15:03:18']
['515', 'Sheridan', '5', '20210428 15:03:40']
['518', 'Dempster', '5', '20210428 15:03:06']
['519', 'Wilson', '5', '20210428 15:03:38']
['514', 'Chicago', '5', '20210428 15:04:58']
['515', 'Sheridan', '5', '20210428 15:03:40']
['518', 'Main', '5', '20210428 15:04:37']
['513', 'Merchandise Mart', '1', '20210428 15:05:37']
['514', 'Chicago', '5', '20210428 15:05:36']
['518', 'Main', '5', '20210428 15:04:37']
['518', 'South Boulevard', '5', '20210428 15:06:32']
['519', 'Sheridan', '5', '20210428 15:06:12']
['508', 'Foster', '1', '20210428 15:07:22']
['515', 'Belmont', '5', '20210428 15:07:36']
['518', 'Howard', '5', '20210428 15:07:13']
['519', 'Sheridan', '5', '20210428 15:06:12']
['508', 'Noyes', '1', '20210428 15:07:42']
['513', 'Chicago', '1', '20210428 15:08:38']
['514', 'Merchandise Mart', '5', '20210428 15:08:36']
['515', 'Wellington', '5', '20210428 15:08:07']
['508', 'Central', '1', '20210428 15:09:39']
['514', 'Merchandise Mart', '5', '20210428 15:09:15']
['515', 'Diversey', '5', '20210428 15:09:37']
['520', 'Central', '5', '20210428 15:09:06']
['519', 'Belmont', '5', '20210428 15:10:36']
['520', 'Central', '5', '20210428 15:09:53']
['508', 'Linden', '1', '20210428 15:11:14']
['513', 'Sedgwick', '1', '20210428 15:11:37']
['514', 'Clark/Lake', '5', '20210428 15:11:25']
['515', 'Fullerton', '5', '20210428 15:11:36']
['519', 'Wellington', '5', '20210428 15:11:37']
['507', 'South Boulevard', '1', '20210428 15:12:36']
['514', 'State/Lake', '5', '20210428 15:12:35']
['519', 'Diversey', '5', '20210428 15:12:30']
['520', 'Davis', '5', '20210428 15:12:37']
['507', 'Main', '1', '20210428 15:13:07']
['520', 'Davis', '5', '20210428 15:13:19']
['507', 'Dempster', '1', '20210428 15:14:29']
['514', 'Adams/Wabash', '5', '20210428 15:14:37']
['519', 'Fullerton', '5', '20210428 15:14:38']
['520', 'Davis', '5', '20210428 15:13:57']
['507', 'Dempster', '1', '20210428 15:15:35']
['514', 'Adams/Wabash', '5', '20210428 15:15:29']
['518', 'Wilson', '5', '20210428 15:15:35']
['520', 'Dempster', '5', '20210428 15:15:35']
['513', 'Armitage', '1', '20210428 15:16:38']
['514', 'Harold Washington Library-State/Van Buren', '5', '20210428 15:16:31']
['520', 'Dempster', '5', '20210428 15:15:35']
['513', 'Armitage', '1', '20210428 15:17:16']
['514', 'Harold Washington Library-State/Van Buren', '5', '20210428 15:16:41']
['520', 'Main', '5', '20210428 15:17:06']
