['501', 'South Boulevard', '5', '20210505 05:00:32']
['503', 'Main', '1', '20210505 05:00:29']
['501', 'Howard', '5', '20210505 05:01:15']
['503', 'Dempster', '1', '20210505 05:00:53']
['503', 'Foster', '1', '20210505 05:04:26']
['503', 'Noyes', '1', '20210505 05:04:48']
['502', 'Central', '5', '20210505 05:06:03']
['503', 'Central', '1', '20210505 05:06:30']
['502', 'Central', '5', '20210505 05:06:58']
['503', 'Linden', '1', '20210505 05:06:58']
['503', 'Linden', '1', '20210505 05:08:14']
['502', 'Davis', '5', '20210505 05:09:22']
['503', 'Linden', '1', '20210505 05:09:36']
['502', 'Davis', '5', '20210505 05:10:34']
['1000', 'South Boulevard', '1', '20210505 05:11:22']
['502', 'Davis', '5', '20210505 05:11:17']
['502', 'Davis', '5', '20210505 05:12:30']
['501', 'Dempster', '1', '20210505 05:13:17']
['502', 'Dempster', '5', '20210505 05:12:50']
['502', 'Main', '5', '20210505 05:14:20']
['501', 'Davis', '1', '20210505 05:15:29']
['502', 'Main', '5', '20210505 05:15:26']
['502', 'South Boulevard', '5', '20210505 05:16:21']
['501', 'Noyes', '1', '20210505 05:17:09']
['502', 'Howard', '5', '20210505 05:17:08']
['501', 'Linden', '1', '20210505 05:19:28']
['501', 'Linden', '1', '20210505 05:19:28']
['501', 'Linden', '1', '20210505 05:20:50']
['503', 'Central', '5', '20210505 05:21:38']
['503', 'Davis', '5', '20210505 05:24:22']
['502', 'Wilson', '5', '20210505 05:25:32']
['503', 'Davis', '5', '20210505 05:25:36']
['502', 'Wilson', '5', '20210505 05:26:30']
['503', 'Davis', '5', '20210505 05:26:36']
['504', 'South Boulevard', '1', '20210505 05:26:20']
['503', 'Dempster', '5', '20210505 05:26:59']
['504', 'Main', '1', '20210505 05:26:49']
['502', 'Sheridan', '5', '20210505 05:28:27']
['503', 'Main', '5', '20210505 05:28:21']
['504', 'Dempster', '1', '20210505 05:28:18']
['502', 'Sheridan', '5', '20210505 05:28:27']
['503', 'Main', '5', '20210505 05:29:20']
['504', 'Dempster', '1', '20210505 05:29:16']
['503', 'South Boulevard', '5', '20210505 05:30:12']
['504', 'Davis', '1', '20210505 05:30:38']
['503', 'Howard', '5', '20210505 05:30:48']
['504', 'Noyes', '1', '20210505 05:32:22']
['502', 'Belmont', '5', '20210505 05:33:37']
['502', 'Wellington', '5', '20210505 05:33:57']
['504', 'Central', '1', '20210505 05:34:39']
['502', 'Wellington', '5', '20210505 05:35:28']
['504', 'Linden', '1', '20210505 05:34:45']
['501', 'Central', '5', '20210505 05:36:38']
['502', 'Diversey', '5', '20210505 05:36:21']
['504', 'Linden', '1', '20210505 05:36:00']
['502', 'Fullerton', '5', '20210505 05:37:37']
['502', 'Fullerton', '5', '20210505 05:38:40']
['501', 'Davis', '5', '20210505 05:39:29']
['502', 'Armitage', '5', '20210505 05:39:34']
['503', 'Wilson', '5', '20210505 05:39:35']
['501', 'Davis', '5', '20210505 05:40:09']
['501', 'Davis', '5', '20210505 05:40:49']
['506', 'South Boulevard', '1', '20210505 05:41:35']
['501', 'Dempster', '5', '20210505 05:42:17']
['503', 'Sheridan', '5', '20210505 05:42:02']
['506', 'Main', '1', '20210505 05:42:04']
['501', 'Dempster', '5', '20210505 05:43:36']
['502', 'Sedgwick', '5', '20210505 05:43:22']
['503', 'Sheridan', '5', '20210505 05:43:26']
['506', 'Dempster', '1', '20210505 05:43:33']
['501', 'Main', '5', '20210505 05:43:50']
['506', 'Dempster', '1', '20210505 05:44:32']
['501', 'South Boulevard', '5', '20210505 05:45:10']
['501', 'Howard', '5', '20210505 05:46:22']
['502', 'Chicago', '5', '20210505 05:46:34']
['503', 'Wellington', '5', '20210505 05:46:27']
['501', 'Howard', '5', '20210505 05:47:31']
['502', 'Chicago', '5', '20210505 05:47:15']
['503', 'Diversey', '5', '20210505 05:47:33']
['506', 'Foster', '1', '20210505 05:47:24']
['503', 'Diversey', '5', '20210505 05:48:35']
['506', 'Noyes', '1', '20210505 05:47:44']
['502', 'Merchandise Mart', '5', '20210505 05:49:23']
['503', 'Fullerton', '5', '20210505 05:49:11']
['504', 'Central', '5', '20210505 05:49:39']
['506', 'Central', '1', '20210505 05:49:35']
['504', 'Central', '5', '20210505 05:50:39']
['503', 'Armitage', '5', '20210505 05:51:35']
['506', 'Linden', '1', '20210505 05:51:20']
['502', 'State/Lake', '5', '20210505 05:52:35']
['506', 'Linden', '1', '20210505 05:52:24']
['504', 'Davis', '5', '20210505 05:53:23']
['507', 'South Boulevard', '1', '20210505 05:53:18']
['502', 'Washington/Wabash', '5', '20210505 05:54:25']
['503', 'Sedgwick', '5', '20210505 05:54:21']
['504', 'Davis', '5', '20210505 05:54:04']
['507', 'Main', '1', '20210505 05:53:49']
['501', 'Wilson', '5', '20210505 05:55:35']
['502', 'Adams/Wabash', '5', '20210505 05:55:38']
['504', 'Davis', '5', '20210505 05:54:45']
['507', 'Dempster', '1', '20210505 05:55:12']
['502', 'Harold Washington Library-State/Van Buren', '5', '20210505 05:56:35']
['504', 'Dempster', '5', '20210505 05:56:18']
['502', 'LaSalle/Van Buren', '5', '20210505 05:57:34']
['503', 'Chicago', '5', '20210505 05:57:38']
['504', 'Main', '5', '20210505 05:57:33']
['507', 'Davis', '1', '20210505 05:57:30']
['501', 'Sheridan', '5', '20210505 05:57:44']
['502', 'Quincy', '5', '20210505 05:58:39']
['503', 'Chicago', '5', '20210505 05:58:22']
['504', 'Main', '5', '20210505 05:57:46']
['502', 'Quincy', '5', '20210505 05:59:31']
['504', 'South Boulevard', '5', '20210505 05:59:36']
['507', 'Noyes', '1', '20210505 05:59:19']
['502', 'Washington/Wells', '5', '20210505 06:00:35']
['503', 'Merchandise Mart', '5', '20210505 06:00:29']
['504', 'Howard', '5', '20210505 06:00:18']
['504', 'Howard', '5', '20210505 06:01:32']
['501', 'Wellington', '5', '20210505 06:02:15']
['501', 'Diversey', '5', '20210505 06:03:39']
['502', 'Merchandise Mart', '1', '20210505 06:03:05']
['507', 'Linden', '1', '20210505 06:02:46']
['501', 'Diversey', '5', '20210505 06:04:36']
['503', 'State/Lake', '5', '20210505 06:04:23']
['501', 'Fullerton', '5', '20210505 06:05:15']
['502', 'Chicago', '1', '20210505 06:05:24']
['503', 'State/Lake', '5', '20210505 06:05:34']
['506', 'Central', '5', '20210505 06:05:04']
['509', 'South Boulevard', '1', '20210505 06:05:17']
['503', 'Washington/Wabash', '5', '20210505 06:06:31']
['506', 'Central', '5', '20210505 06:06:00']
['509', 'Main', '1', '20210505 06:05:47']
['501', 'Armitage', '5', '20210505 06:07:34']
['503', 'Adams/Wabash', '5', '20210505 06:07:26']
['509', 'Dempster', '1', '20210505 06:07:14']
['502', 'Sedgwick', '1', '20210505 06:08:33']
