['513', 'Washington/Wells', '5', '20210503 15:06:38']
['514', 'Chicago', '5', '20210503 15:06:39']
['515', 'Armitage', '5', '20210503 15:06:36']
['518', 'Main', '5', '20210503 15:06:26']
['519', 'Wilson', '5', '20210503 15:06:33']
['508', 'Noyes', '1', '20210503 15:07:20']
['518', 'South Boulevard', '5', '20210503 15:07:21']
['518', 'Howard', '5', '20210503 15:08:05']
['519', 'Sheridan', '5', '20210503 15:07:44']
['520', 'Central', '5', '20210503 15:07:48']
['513', 'Chicago', '1', '20210503 15:09:25']
['514', 'Merchandise Mart', '5', '20210503 15:09:30']
['515', 'Sedgwick', '5', '20210503 15:09:24']
['508', 'Linden', '1', '20210503 15:10:38']
['508', 'Linden', '1', '20210503 15:10:38']
['514', 'Clark/Lake', '5', '20210503 15:11:39']
['520', 'Davis', '5', '20210503 15:11:20']
['513', 'Sedgwick', '1', '20210503 15:12:33']
['514', 'State/Lake', '5', '20210503 15:12:02']
['515', 'Chicago', '5', '20210503 15:12:32']
['520', 'Davis', '5', '20210503 15:12:00']
['513', 'Sedgwick', '1', '20210503 15:13:37']
['515', 'Chicago', '5', '20210503 15:13:22']
['520', 'Davis', '5', '20210503 15:12:42']
['507', 'South Boulevard', '1', '20210503 15:14:36']
['514', 'Adams/Wabash', '5', '20210503 15:14:36']
['519', 'Belmont', '5', '20210503 15:14:30']
['515', 'Merchandise Mart', '5', '20210503 15:15:28']
['519', 'Wellington', '5', '20210503 15:15:34']
['520', 'Main', '5', '20210503 15:15:38']
['507', 'Dempster', '1', '20210503 15:16:08']
['513', 'Armitage', '1', '20210503 15:16:36']
['514', 'Harold Washington Library-State/Van Buren', '5', '20210503 15:16:33']
['519', 'Diversey', '5', '20210503 15:16:27']
['520', 'Main', '5', '20210503 15:16:38']
['514', 'LaSalle/Van Buren', '5', '20210503 15:17:11']
['515', 'Clark/Lake', '5', '20210503 15:17:39']
['518', 'Wilson', '5', '20210503 15:17:33']
