['517', 'Howard', '5', '20210427 13:59:56']
['514', 'Davis', '1', '20210427 14:01:33']
['518', 'Davis', '5', '20210427 14:02:29']
['514', 'Noyes', '1', '20210427 14:03:14']
['518', 'Davis', '5', '20210427 14:03:21']
['518', 'Davis', '5', '20210427 14:04:22']
['518', 'Main', '5', '20210427 14:06:24']
['514', 'Linden', '1', '20210427 14:07:36']
['518', 'South Boulevard', '5', '20210427 14:07:39']
['518', 'South Boulevard', '5', '20210427 14:08:10']
['518', 'Howard', '5', '20210427 14:08:49']
['513', 'Central', '5', '20210427 14:10:12']
['513', 'Central', '5', '20210427 14:11:05']
['513', 'Davis', '5', '20210427 14:13:43']
['513', 'Davis', '5', '20210427 14:14:23']
['513', 'Davis', '5', '20210427 14:14:57']
['513', 'Main', '5', '20210427 14:17:51']
['513', 'Main', '5', '20210427 14:18:51']
['513', 'South Boulevard', '5', '20210427 14:19:42']
['513', 'Howard', '5', '20210427 14:20:22']
['519', 'South Boulevard', '1', '20210427 14:22:19']
['514', 'Central', '5', '20210427 14:22:55']
['519', 'Main', '1', '20210427 14:22:55']
['518', 'Main', '1', '20210427 14:24:22']
['519', 'Dempster', '1', '20210427 14:24:25']
['518', 'Main', '1', '20210427 14:24:22']
['519', 'Dempster', '1', '20210427 14:25:30']
['514', 'Davis', '5', '20210427 14:26:32']
['518', 'Dempster', '1', '20210427 14:26:16']
['514', 'Davis', '5', '20210427 14:27:12']
['518', 'Dempster', '1', '20210427 14:27:33']
['513', 'Wilson', '5', '20210427 14:28:32']
['514', 'Davis', '5', '20210427 14:27:57']
['519', 'Noyes', '1', '20210427 14:28:38']
['514', 'Dempster', '5', '20210427 14:29:31']
['514', 'Dempster', '5', '20210427 14:29:31']
['518', 'Foster', '1', '20210427 14:30:21']
['519', 'Central', '1', '20210427 14:30:39']
['513', 'Sheridan', '5', '20210427 14:31:23']
['514', 'Main', '5', '20210427 14:31:12']
['518', 'Noyes', '1', '20210427 14:30:46']
['513', 'Sheridan', '5', '20210427 14:31:23']
['514', 'South Boulevard', '5', '20210427 14:32:35']
['518', 'Central', '1', '20210427 14:32:29']
['519', 'Linden', '1', '20210427 14:31:59']
['514', 'South Boulevard', '5', '20210427 14:33:05']
['514', 'Howard', '5', '20210427 14:33:50']
['518', 'Linden', '1', '20210427 14:34:32']
['513', 'Belmont', '5', '20210427 14:35:38']
['518', 'Linden', '1', '20210427 14:35:27']
['513', 'Wellington', '5', '20210427 14:36:12']
['513', 'Diversey', '5', '20210427 14:37:25']
['513', 'Fullerton', '5', '20210427 14:38:34']
['513', 'Fullerton', '5', '20210427 14:39:35']
['515', 'Central', '5', '20210427 14:38:54']
['520', 'South Boulevard', '1', '20210427 14:40:31']
['514', 'Wilson', '5', '20210427 14:42:35']
['515', 'Davis', '5', '20210427 14:42:31']
['520', 'Main', '1', '20210427 14:42:19']
['515', 'Davis', '5', '20210427 14:43:08']
['520', 'Dempster', '1', '20210427 14:42:44']
['513', 'Sedgwick', '5', '20210427 14:43:43']
['515', 'Davis', '5', '20210427 14:43:44']
['513', 'Sedgwick', '5', '20210427 14:45:30']
['514', 'Sheridan', '5', '20210427 14:44:43']
['515', 'Main', '5', '20210427 14:46:35']
['506', 'South Boulevard', '1', '20210427 14:47:39']
['513', 'Chicago', '5', '20210427 14:47:37']
['515', 'Main', '5', '20210427 14:46:46']
['519', 'Central', '5', '20210427 14:47:37']
['520', 'Noyes', '1', '20210427 14:47:34']
['513', 'Chicago', '5', '20210427 14:48:29']
['515', 'South Boulevard', '5', '20210427 14:48:38']
['519', 'Central', '5', '20210427 14:48:08']
['506', 'Main', '1', '20210427 14:49:20']
['514', 'Belmont', '5', '20210427 14:49:38']
['515', 'Howard', '5', '20210427 14:49:17']
['520', 'Central', '1', '20210427 14:49:21']
['506', 'Dempster', '1', '20210427 14:49:45']
['513', 'Merchandise Mart', '5', '20210427 14:50:29']
['514', 'Wellington', '5', '20210427 14:50:12']
['519', 'Davis', '5', '20210427 14:50:35']
['514', 'Wellington', '5', '20210427 14:51:33']
['519', 'Davis', '5', '20210427 14:51:39']
['520', 'Linden', '1', '20210427 14:50:56']
['513', 'Clark/Lake', '5', '20210427 14:52:14']
['514', 'Diversey', '5', '20210427 14:52:24']
['519', 'Davis', '5', '20210427 14:51:39']
['506', 'Foster', '1', '20210427 14:53:30']
['513', 'State/Lake', '5', '20210427 14:53:32']
['514', 'Fullerton', '5', '20210427 14:53:38']
['519', 'Davis', '5', '20210427 14:52:41']
['513', 'Washington/Wabash', '5', '20210427 14:55:30']
['514', 'Armitage', '5', '20210427 14:55:37']
['519', 'Main', '5', '20210427 14:55:39']
['513', 'Adams/Wabash', '5', '20210427 14:56:10']
['518', 'Central', '5', '20210427 14:56:20']
['519', 'Main', '5', '20210427 14:55:50']
['506', 'Linden', '1', '20210427 14:57:27']
['513', 'Harold Washington Library-State/Van Buren', '5', '20210427 14:57:39']
['515', 'Wilson', '5', '20210427 14:57:39']
['518', 'Central', '5', '20210427 14:57:16']
['519', 'South Boulevard', '5', '20210427 14:57:16']
['506', 'Linden', '1', '20210427 14:58:27']
['513', 'LaSalle/Van Buren', '5', '20210427 14:58:34']
['519', 'Howard', '5', '20210427 14:58:29']
['513', 'Quincy', '5', '20210427 14:59:37']
['514', 'Sedgwick', '5', '20210427 14:59:35']
['518', 'Davis', '5', '20210427 14:59:31']
['519', 'Howard', '5', '20210427 14:59:38']
['508', 'South Boulevard', '1', '20210427 15:00:34']
['513', 'Quincy', '5', '20210427 15:00:35']
['515', 'Sheridan', '5', '20210427 14:59:49']
['518', 'Davis', '5', '20210427 15:00:31']
['508', 'Main', '1', '20210427 15:01:44']
['514', 'Chicago', '5', '20210427 15:01:55']
['518', 'Davis', '5', '20210427 15:01:12']
['508', 'Dempster', '1', '20210427 15:02:09']
['513', 'Merchandise Mart', '1', '20210427 15:02:25']
['514', 'Chicago', '5', '20210427 15:02:39']
['518', 'Davis', '5', '20210427 15:02:20']
['513', 'Merchandise Mart', '1', '20210427 15:03:12']
['508', 'Davis', '1', '20210427 15:04:27']
['514', 'Merchandise Mart', '5', '20210427 15:04:34']
['515', 'Wellington', '5', '20210427 15:04:20']
['518', 'Main', '5', '20210427 15:04:10']
['513', 'Chicago', '1', '20210427 15:05:18']
['515', 'Diversey', '5', '20210427 15:05:31']
['518', 'South Boulevard', '5', '20210427 15:05:33']
['508', 'Noyes', '1', '20210427 15:06:15']
['515', 'Diversey', '5', '20210427 15:06:33']
['518', 'South Boulevard', '5', '20210427 15:06:03']
['519', 'Wilson', '5', '20210427 15:06:35']
['514', 'Clark/Lake', '5', '20210427 15:07:30']
['515', 'Fullerton', '5', '20210427 15:07:08']
['518', 'Howard', '5', '20210427 15:06:43']
['513', 'Sedgwick', '1', '20210427 15:08:39']
['514', 'State/Lake', '5', '20210427 15:08:26']
['520', 'Central', '5', '20210427 15:08:38']
['514', 'State/Lake', '5', '20210427 15:09:25']
['515', 'Armitage', '5', '20210427 15:09:38']
['519', 'Sheridan', '5', '20210427 15:08:52']
['520', 'Central', '5', '20210427 15:09:36']
['508', 'Linden', '1', '20210427 15:09:50']
['514', 'Washington/Wabash', '5', '20210427 15:10:26']
['513', 'Armitage', '1', '20210427 15:11:28']
['514', 'Adams/Wabash', '5', '20210427 15:11:31']
['507', 'South Boulevard', '1', '20210427 15:12:16']
['513', 'Armitage', '1', '20210427 15:12:34']
['519', 'Belmont', '5', '20210427 15:12:21']
['520', 'Davis', '5', '20210427 15:12:26']
['514', 'Harold Washington Library-State/Van Buren', '5', '20210427 15:13:10']
['515', 'Sedgwick', '5', '20210427 15:13:34']
['519', 'Wellington', '5', '20210427 15:13:23']
['520', 'Davis', '5', '20210427 15:13:05']
['507', 'Dempster', '1', '20210427 15:14:21']
['514', 'LaSalle/Van Buren', '5', '20210427 15:14:08']
['518', 'Wilson', '5', '20210427 15:14:38']
['519', 'Diversey', '5', '20210427 15:14:34']
['520', 'Davis', '5', '20210427 15:13:45']
['513', 'Diversey', '1', '20210427 15:15:37']
['514', 'LaSalle/Van Buren', '5', '20210427 15:15:38']
['515', 'Chicago', '5', '20210427 15:15:36']
['518', 'Wilson', '5', '20210427 15:15:39']
['519', 'Diversey', '5', '20210427 15:15:38']
['513', 'Diversey', '1', '20210427 15:16:24']
['514', 'Quincy', '5', '20210427 15:16:20']
['515', 'Chicago', '5', '20210427 15:16:38']
['519', 'Fullerton', '5', '20210427 15:16:19']
['520', 'Main', '5', '20210427 15:16:28']
['513', 'Wellington', '1', '20210427 15:17:34']
['514', 'Washington/Wells', '5', '20210427 15:17:36']
['518', 'Sheridan', '5', '20210427 15:17:36']
['520', 'Main', '5', '20210427 15:16:40']
['507', 'Noyes', '1', '20210427 15:18:38']
['513', 'Belmont', '1', '20210427 15:18:19']
['515', 'Merchandise Mart', '5', '20210427 15:18:16']
['518', 'Sheridan', '5', '20210427 15:17:36']
