['515', 'Fullerton', '5', '20210506 15:01:55']
['518', 'Davis', '5', '20210506 15:01:57']
['508', 'Dempster', '1', '20210506 15:02:00']
['513', 'Quincy', '5', '20210506 15:02:34']
['514', 'Chicago', '5', '20210506 15:02:31']
['518', 'Davis', '5', '20210506 15:01:57']
['508', 'Davis', '1', '20210506 15:03:39']
['513', 'Washington/Wells', '5', '20210506 15:03:35']
['514', 'Chicago', '5', '20210506 15:03:23']
['515', 'Armitage', '5', '20210506 15:03:36']
['518', 'Dempster', '5', '20210506 15:03:30']
['513', 'Merchandise Mart', '1', '20210506 15:04:27']
['518', 'Dempster', '5', '20210506 15:03:30']
['508', 'Noyes', '1', '20210506 15:05:26']
['513', 'Merchandise Mart', '1', '20210506 15:05:08']
['514', 'Merchandise Mart', '5', '20210506 15:05:29']
['518', 'Main', '5', '20210506 15:04:58']
['518', 'South Boulevard', '5', '20210506 15:06:18']
['508', 'Linden', '1', '20210506 15:07:35']
['513', 'Chicago', '1', '20210506 15:07:21']
['514', 'Clark/Lake', '5', '20210506 15:07:06']
['515', 'Sedgwick', '5', '20210506 15:07:36']
['518', 'Howard', '5', '20210506 15:07:29']
['519', 'Wilson', '5', '20210506 15:07:32']
['508', 'Linden', '1', '20210506 15:07:35']
['514', 'State/Lake', '5', '20210506 15:08:33']
['518', 'Howard', '5', '20210506 15:08:33']
['519', 'Wilson', '5', '20210506 15:08:35']
['520', 'Central', '5', '20210506 15:08:36']
['508', 'Linden', '1', '20210506 15:08:49']
['514', 'State/Lake', '5', '20210506 15:09:39']
['515', 'Chicago', '5', '20210506 15:09:33']
['513', 'Sedgwick', '1', '20210506 15:10:30']
['514', 'Washington/Wabash', '5', '20210506 15:10:30']
['515', 'Chicago', '5', '20210506 15:10:23']
['519', 'Sheridan', '5', '20210506 15:10:26']
['507', 'South Boulevard', '1', '20210506 15:11:16']
['514', 'Adams/Wabash', '5', '20210506 15:11:24']
['519', 'Sheridan', '5', '20210506 15:10:26']
['520', 'Davis', '5', '20210506 15:11:23']
['507', 'Main', '1', '20210506 15:11:53']
['515', 'Merchandise Mart', '5', '20210506 15:12:22']
['520', 'Davis', '5', '20210506 15:12:38']
['507', 'Dempster', '1', '20210506 15:13:21']
['514', 'LaSalle/Van Buren', '5', '20210506 15:13:32']
['520', 'Davis', '5', '20210506 15:12:38']
['507', 'Dempster', '1', '20210506 15:14:26']
['513', 'Armitage', '1', '20210506 15:14:34']
['514', 'Quincy', '5', '20210506 15:14:37']
['515', 'Clark/Lake', '5', '20210506 15:14:38']
['519', 'Belmont', '5', '20210506 15:14:36']
['520', 'Dempster', '5', '20210506 15:14:31']
['514', 'Quincy', '5', '20210506 15:15:35']
['515', 'State/Lake', '5', '20210506 15:15:30']
['519', 'Wellington', '5', '20210506 15:14:56']
['520', 'Dempster', '5', '20210506 15:14:31']
['514', 'Washington/Wells', '5', '20210506 15:16:37']
['518', 'Wilson', '5', '20210506 15:16:36']
['519', 'Diversey', '5', '20210506 15:16:36']
['520', 'Main', '5', '20210506 15:16:04']
['507', 'Foster', '1', '20210506 15:17:21']
['513', 'Diversey', '1', '20210506 15:17:31']
['515', 'Washington/Wabash', '5', '20210506 15:17:36']
['520', 'South Boulevard', '5', '20210506 15:17:27']
['507', 'Noyes', '1', '20210506 15:18:10']
['513', 'Diversey', '1', '20210506 15:18:17']
['515', 'Adams/Wabash', '5', '20210506 15:18:35']
['518', 'Sheridan', '5', '20210506 15:18:30']
['519', 'Fullerton', '5', '20210506 15:18:29']
['520', 'Howard', '5', '20210506 15:18:36']
['507', 'Central', '1', '20210506 15:19:37']
['513', 'Wellington', '1', '20210506 15:19:27']
['514', 'Chicago', '1', '20210506 15:19:39']
['515', 'Harold Washington Library-State/Van Buren', '5', '20210506 15:19:30']
['518', 'Sheridan', '5', '20210506 15:18:30']
['520', 'Howard', '5', '20210506 15:18:36']
['513', 'Belmont', '1', '20210506 15:20:11']
['514', 'Chicago', '1', '20210506 15:20:34']
['515', 'LaSalle/Van Buren', '5', '20210506 15:20:30']
['519', 'Armitage', '5', '20210506 15:20:34']
['507', 'Linden', '1', '20210506 15:21:19']
['515', 'Quincy', '5', '20210506 15:21:26']
['507', 'Linden', '1', '20210506 15:22:20']
['515', 'Quincy', '5', '20210506 15:22:34']
['518', 'Belmont', '5', '20210506 15:22:37']
['522', 'Central', '5', '20210506 15:22:00']
['509', 'South Boulevard', '1', '20210506 15:23:25']
['514', 'Sedgwick', '1', '20210506 15:23:34']
['515', 'Washington/Wells', '5', '20210506 15:23:35']
['518', 'Wellington', '5', '20210506 15:23:09']
['519', 'Sedgwick', '5', '20210506 15:23:26']
['522', 'Central', '5', '20210506 15:22:47']
['509', 'Main', '1', '20210506 15:23:59']
['515', 'Merchandise Mart', '1', '20210506 15:24:39']
['518', 'Diversey', '5', '20210506 15:24:34']
['509', 'Dempster', '1', '20210506 15:25:19']
['518', 'Diversey', '5', '20210506 15:25:25']
['522', 'Davis', '5', '20210506 15:25:20']
['513', 'Wilson', '1', '20210506 15:26:37']
['514', 'Armitage', '1', '20210506 15:26:27']
['515', 'Chicago', '1', '20210506 15:26:23']
['518', 'Fullerton', '5', '20210506 15:26:01']
['519', 'Chicago', '5', '20210506 15:26:39']
['522', 'Davis', '5', '20210506 15:26:27']
['509', 'Davis', '1', '20210506 15:27:35']
['514', 'Armitage', '1', '20210506 15:27:33']
['519', 'Chicago', '5', '20210506 15:27:27']
['522', 'Davis', '5', '20210506 15:27:08']
['518', 'Armitage', '5', '20210506 15:28:39']
['520', 'Wilson', '5', '20210506 15:28:34']
['522', 'Dempster', '5', '20210506 15:28:39']
['509', 'Noyes', '1', '20210506 15:29:13']
['514', 'Fullerton', '1', '20210506 15:29:31']
['519', 'Merchandise Mart', '5', '20210506 15:29:15']
['520', 'Wilson', '5', '20210506 15:29:30']
