['514', 'Main', '1', '20210430 14:00:38']
['518', 'Davis', '5', '20210430 14:01:33']
['518', 'Davis', '5', '20210430 14:02:35']
['518', 'Davis', '5', '20210430 14:03:13']
['514', 'Foster', '1', '20210430 14:04:29']
['518', 'Davis', '5', '20210430 14:04:19']
['514', 'Noyes', '1', '20210430 14:04:56']
['518', 'Main', '5', '20210430 14:06:10']
['518', 'South Boulevard', '5', '20210430 14:07:34']
['514', 'Linden', '1', '20210430 14:08:23']
['518', 'South Boulevard', '5', '20210430 14:08:05']
['514', 'Linden', '1', '20210430 14:09:23']
['518', 'Howard', '5', '20210430 14:08:53']
['513', 'Central', '5', '20210430 14:09:53']
['519', 'Main', '1', '20210430 14:11:14']
['513', 'Davis', '5', '20210430 14:12:39']
['519', 'Main', '1', '20210430 14:12:15']
['513', 'Davis', '5', '20210430 14:13:17']
['519', 'Dempster', '1', '20210430 14:13:37']
['513', 'Davis', '5', '20210430 14:13:51']
['513', 'Dempster', '5', '20210430 14:16:31']
['519', 'Foster', '1', '20210430 14:16:26']
['513', 'Main', '5', '20210430 14:17:38']
['519', 'Noyes', '1', '20210430 14:16:48']
['513', 'South Boulevard', '5', '20210430 14:18:30']
['513', 'Howard', '5', '20210430 14:19:07']
['519', 'Linden', '1', '20210430 14:20:28']
['519', 'Linden', '1', '20210430 14:21:24']
['518', 'South Boulevard', '1', '20210430 14:22:13']
['518', 'Main', '1', '20210430 14:22:56']
['514', 'Central', '5', '20210430 14:24:14']
['518', 'Dempster', '1', '20210430 14:25:20']
['514', 'Davis', '5', '20210430 14:26:30']
['513', 'Wilson', '5', '20210430 14:27:29']
['514', 'Davis', '5', '20210430 14:27:33']
['513', 'Wilson', '5', '20210430 14:28:35']
['514', 'Davis', '5', '20210430 14:28:18']
['518', 'Noyes', '1', '20210430 14:28:31']
['514', 'Davis', '5', '20210430 14:29:26']
['513', 'Sheridan', '5', '20210430 14:30:16']
['514', 'Dempster', '5', '20210430 14:29:50']
['513', 'Sheridan', '5', '20210430 14:30:16']
['514', 'Main', '5', '20210430 14:31:18']
['514', 'South Boulevard', '5', '20210430 14:32:37']
['515', 'Central', '5', '20210430 14:32:33']
['518', 'Linden', '1', '20210430 14:31:46']
['514', 'South Boulevard', '5', '20210430 14:33:09']
['513', 'Wellington', '5', '20210430 14:34:36']
['514', 'Howard', '5', '20210430 14:34:17']
['513', 'Wellington', '5', '20210430 14:34:59']
['515', 'Davis', '5', '20210430 14:35:37']
['513', 'Diversey', '5', '20210430 14:36:17']
['515', 'Davis', '5', '20210430 14:36:37']
['520', 'Main', '1', '20210430 14:36:36']
['515', 'Davis', '5', '20210430 14:36:37']
['520', 'Main', '1', '20210430 14:36:42']
['513', 'Fullerton', '5', '20210430 14:38:30']
['515', 'Dempster', '5', '20210430 14:38:07']
['513', 'Armitage', '5', '20210430 14:39:34']
['515', 'Main', '5', '20210430 14:39:34']
['515', 'Main', '5', '20210430 14:40:34']
['520', 'Davis', '1', '20210430 14:40:37']
['515', 'South Boulevard', '5', '20210430 14:41:27']
['514', 'Wilson', '5', '20210430 14:42:30']
['515', 'Howard', '5', '20210430 14:42:06']
['520', 'Foster', '1', '20210430 14:42:29']
['513', 'Sedgwick', '5', '20210430 14:43:07']
['514', 'Wilson', '5', '20210430 14:43:29']
['520', 'Noyes', '1', '20210430 14:42:54']
['514', 'Sheridan', '5', '20210430 14:45:32']
['519', 'Central', '5', '20210430 14:44:57']
['513', 'Chicago', '5', '20210430 14:46:34']
['514', 'Sheridan', '5', '20210430 14:45:32']
['520', 'Linden', '1', '20210430 14:46:35']
['519', 'Davis', '5', '20210430 14:47:38']
['520', 'Linden', '1', '20210430 14:47:31']
['513', 'Merchandise Mart', '5', '20210430 14:48:39']
['519', 'Davis', '5', '20210430 14:48:20']
['514', 'Belmont', '5', '20210430 14:49:35']
['519', 'Davis', '5', '20210430 14:49:01']
['506', 'South Boulevard', '1', '20210430 14:50:27']
['514', 'Wellington', '5', '20210430 14:50:39']
['519', 'Dempster', '5', '20210430 14:50:35']
['506', 'Main', '1', '20210430 14:51:01']
['513', 'Clark/Lake', '5', '20210430 14:50:45']
['514', 'Diversey', '5', '20210430 14:51:33']
['515', 'Wilson', '5', '20210430 14:51:39']
['519', 'Dempster', '5', '20210430 14:50:35']
['513', 'State/Lake', '5', '20210430 14:52:35']
['519', 'Main', '5', '20210430 14:52:05']
['506', 'Dempster', '1', '20210430 14:53:36']
['513', 'State/Lake', '5', '20210430 14:53:40']
['514', 'Fullerton', '5', '20210430 14:53:35']
['519', 'South Boulevard', '5', '20210430 14:53:36']
['513', 'Washington/Wabash', '5', '20210430 14:54:54']
['514', 'Armitage', '5', '20210430 14:54:56']
['515', 'Sheridan', '5', '20210430 14:54:10']
['519', 'Howard', '5', '20210430 14:54:55']
['513', 'Adams/Wabash', '5', '20210430 14:55:34']
['515', 'Sheridan', '5', '20210430 14:55:35']
['519', 'Howard', '5', '20210430 14:54:55']
['506', 'Foster', '1', '20210430 14:56:29']
['513', 'Adams/Wabash', '5', '20210430 14:56:30']
['506', 'Noyes', '1', '20210430 14:57:05']
['513', 'Harold Washington Library-State/Van Buren', '5', '20210430 14:57:32']
['518', 'Central', '5', '20210430 14:57:23']
['513', 'LaSalle/Van Buren', '5', '20210430 14:58:28']
['514', 'Sedgwick', '5', '20210430 14:58:38']
['515', 'Belmont', '5', '20210430 14:58:30']
['513', 'Quincy', '5', '20210430 14:59:22']
['515', 'Wellington', '5', '20210430 14:59:23']
['506', 'Linden', '1', '20210430 15:00:36']
['513', 'Quincy', '5', '20210430 15:00:35']
['515', 'Diversey', '5', '20210430 15:00:18']
['518', 'Davis', '5', '20210430 15:00:29']
['506', 'Linden', '1', '20210430 15:01:35']
['508', 'South Boulevard', '1', '20210430 15:01:35']
['513', 'Washington/Wells', '5', '20210430 15:01:27']
['514', 'Chicago', '5', '20210430 15:01:34']
['518', 'Davis', '5', '20210430 15:01:34']
['508', 'Main', '1', '20210430 15:01:41']
['513', 'Merchandise Mart', '1', '20210430 15:02:39']
['515', 'Fullerton', '5', '20210430 15:02:40']
['518', 'Davis', '5', '20210430 15:01:34']
['519', 'Wilson', '5', '20210430 15:02:39']
['513', 'Merchandise Mart', '1', '20210430 15:03:19']
['514', 'Merchandise Mart', '5', '20210430 15:03:34']
['515', 'Armitage', '5', '20210430 15:03:39']
['518', 'Dempster', '5', '20210430 15:03:07']
['519', 'Wilson', '5', '20210430 15:03:39']
['518', 'Main', '5', '20210430 15:04:31']
['513', 'Chicago', '1', '20210430 15:05:27']
['518', 'Main', '5', '20210430 15:04:43']
['519', 'Sheridan', '5', '20210430 15:05:35']
['508', 'Foster', '1', '20210430 15:06:33']
['514', 'State/Lake', '5', '20210430 15:06:37']
['518', 'South Boulevard', '5', '20210430 15:06:08']
['519', 'Sheridan', '5', '20210430 15:05:42']
['515', 'Sedgwick', '5', '20210430 15:07:53']
['518', 'Howard', '5', '20210430 15:07:20']
['508', 'Central', '1', '20210430 15:08:43']
['513', 'Sedgwick', '1', '20210430 15:08:51']
['514', 'Adams/Wabash', '5', '20210430 15:08:53']
['514', 'Adams/Wabash', '5', '20210430 15:09:11']
['519', 'Belmont', '5', '20210430 15:09:37']
['520', 'Central', '5', '20210430 15:09:01']
['508', 'Linden', '1', '20210430 15:10:36']
['514', 'Harold Washington Library-State/Van Buren', '5', '20210430 15:10:33']
['515', 'Chicago', '5', '20210430 15:10:26']
['519', 'Wellington', '5', '20210430 15:10:02']
['508', 'Linden', '1', '20210430 15:11:37']
['514', 'LaSalle/Van Buren', '5', '20210430 15:11:40']
['515', 'Chicago', '5', '20210430 15:11:19']
['519', 'Diversey', '5', '20210430 15:11:30']
['520', 'Davis', '5', '20210430 15:11:23']
['507', 'Main', '1', '20210430 15:12:21']
['513', 'Armitage', '1', '20210430 15:12:39']
['514', 'Quincy', '5', '20210430 15:12:32']
['515', 'Merchandise Mart', '5', '20210430 15:12:37']
['519', 'Diversey', '5', '20210430 15:12:21']
['520', 'Davis', '5', '20210430 15:12:30']
['507', 'Main', '1', '20210430 15:13:23']
['514', 'Quincy', '5', '20210430 15:13:34']
['515', 'Merchandise Mart', '5', '20210430 15:13:25']
['520', 'Davis', '5', '20210430 15:13:19']
['513', 'Fullerton', '1', '20210430 15:14:29']
['514', 'Washington/Wells', '5', '20210430 15:14:39']
['520', 'Davis', '5', '20210430 15:14:27']
['514', 'Merchandise Mart', '1', '20210430 15:15:38']
['515', 'Clark/Lake', '5', '20210430 15:15:38']
['519', 'Armitage', '5', '20210430 15:15:36']
['520', 'Dempster', '5', '20210430 15:14:46']
['513', 'Diversey', '1', '20210430 15:16:16']
['514', 'Merchandise Mart', '1', '20210430 15:16:22']
['515', 'State/Lake', '5', '20210430 15:16:04']
['518', 'Wilson', '5', '20210430 15:16:31']
['520', 'Main', '5', '20210430 15:16:21']
