['509', 'Dempster', '1', '20210506 06:07:51']
['503', 'Harold Washington Library-State/Van Buren', '5', '20210506 06:09:36']
['506', 'Davis', '5', '20210506 06:09:34']
['502', 'Armitage', '1', '20210506 06:10:29']
['503', 'LaSalle/Van Buren', '5', '20210506 06:10:19']
['504', 'Wilson', '5', '20210506 06:10:33']
['506', 'Davis', '5', '20210506 06:10:39']
['503', 'LaSalle/Van Buren', '5', '20210506 06:11:33']
['506', 'Davis', '5', '20210506 06:10:39']
['509', 'Foster', '1', '20210506 06:11:24']
['501', 'Sedgwick', '5', '20210506 06:12:36']
['502', 'Fullerton', '1', '20210506 06:12:31']
['503', 'Quincy', '5', '20210506 06:12:31']
['506', 'Dempster', '5', '20210506 06:12:12']
['509', 'Noyes', '1', '20210506 06:11:48']
['503', 'Washington/Wells', '5', '20210506 06:13:37']
['506', 'Main', '5', '20210506 06:13:26']
['509', 'Central', '1', '20210506 06:13:29']
['502', 'Diversey', '1', '20210506 06:14:35']
['506', 'Main', '5', '20210506 06:13:44']
['509', 'Linden', '1', '20210506 06:13:54']
['501', 'Chicago', '5', '20210506 06:15:37']
['502', 'Wellington', '1', '20210506 06:15:21']
['503', 'Merchandise Mart', '1', '20210506 06:15:38']
['506', 'South Boulevard', '5', '20210506 06:15:35']
['509', 'Linden', '1', '20210506 06:15:03']
['502', 'Wellington', '1', '20210506 06:16:20']
['506', 'Howard', '5', '20210506 06:16:20']
['510', 'South Boulevard', '1', '20210506 06:16:23']
['501', 'Merchandise Mart', '5', '20210506 06:17:35']
['502', 'Belmont', '1', '20210506 06:17:05']
['503', 'Chicago', '1', '20210506 06:17:33']
['504', 'Wellington', '5', '20210506 06:17:20']
['510', 'Main', '1', '20210506 06:16:55']
['501', 'Merchandise Mart', '5', '20210506 06:18:25']
['503', 'Chicago', '1', '20210506 06:18:38']
['504', 'Diversey', '5', '20210506 06:18:30']
['510', 'Dempster', '1', '20210506 06:18:18']
['504', 'Diversey', '5', '20210506 06:19:35']
['501', 'Clark/Lake', '5', '20210506 06:20:36']
['504', 'Fullerton', '5', '20210506 06:20:16']
['508', 'Central', '5', '20210506 06:20:02']
['510', 'Davis', '1', '20210506 06:20:34']
['501', 'State/Lake', '5', '20210506 06:21:07']
['503', 'Sedgwick', '1', '20210506 06:21:37']
['508', 'Central', '5', '20210506 06:20:59']
['504', 'Armitage', '5', '20210506 06:22:37']
['510', 'Noyes', '1', '20210506 06:22:17']
['501', 'Adams/Wabash', '5', '20210506 06:23:40']
['508', 'Davis', '5', '20210506 06:23:19']
['502', 'Wilson', '1', '20210506 06:24:20']
['506', 'Wilson', '5', '20210506 06:24:35']
['508', 'Davis', '5', '20210506 06:24:24']
['501', 'Harold Washington Library-State/Van Buren', '5', '20210506 06:25:29']
['503', 'Armitage', '1', '20210506 06:25:16']
['506', 'Wilson', '5', '20210506 06:25:34']
['508', 'Davis', '5', '20210506 06:24:59']
['510', 'Linden', '1', '20210506 06:25:19']
['501', 'LaSalle/Van Buren', '5', '20210506 06:26:20']
['504', 'Sedgwick', '5', '20210506 06:26:30']
['508', 'Dempster', '5', '20210506 06:26:27']
['510', 'Linden', '1', '20210506 06:26:38']
['501', 'Quincy', '5', '20210506 06:27:24']
['503', 'Fullerton', '1', '20210506 06:27:35']
['508', 'Dempster', '5', '20210506 06:26:27']
['501', 'Quincy', '5', '20210506 06:28:34']
['508', 'Main', '5', '20210506 06:28:00']
['501', 'Washington/Wells', '5', '20210506 06:29:37']
['503', 'Diversey', '1', '20210506 06:29:25']
['504', 'Chicago', '5', '20210506 06:29:20']
['508', 'South Boulevard', '5', '20210506 06:29:18']
['503', 'Wellington', '1', '20210506 06:30:12']
['504', 'Chicago', '5', '20210506 06:29:20']
['508', 'Howard', '5', '20210506 06:30:31']
['503', 'Wellington', '1', '20210506 06:31:38']
['504', 'Chicago', '5', '20210506 06:31:31']
['506', 'Belmont', '5', '20210506 06:31:34']
['508', 'Howard', '5', '20210506 06:31:35']
['501', 'Merchandise Mart', '1', '20210506 06:32:35']
['506', 'Wellington', '5', '20210506 06:31:55']
['504', 'Clark/Lake', '5', '20210506 06:33:38']
['506', 'Diversey', '5', '20210506 06:33:40']
['501', 'Chicago', '1', '20210506 06:34:32']
['504', 'State/Lake', '5', '20210506 06:34:27']
['509', 'Central', '5', '20210506 06:34:30']
['506', 'Fullerton', '5', '20210506 06:35:35']
['509', 'Central', '5', '20210506 06:35:18']
['504', 'Washington/Wabash', '5', '20210506 06:36:25']
['504', 'Adams/Wabash', '5', '20210506 06:37:13']
['506', 'Armitage', '5', '20210506 06:37:39']
['509', 'Davis', '5', '20210506 06:37:33']
['501', 'Sedgwick', '1', '20210506 06:38:38']
['503', 'Wilson', '1', '20210506 06:38:36']
['504', 'Harold Washington Library-State/Van Buren', '5', '20210506 06:38:35']
['509', 'Davis', '5', '20210506 06:38:22']
['504', 'LaSalle/Van Buren', '5', '20210506 06:39:26']
['508', 'Wilson', '5', '20210506 06:39:39']
['509', 'Davis', '5', '20210506 06:39:15']
['502', 'Main', '1', '20210506 06:40:37']
['504', 'LaSalle/Van Buren', '5', '20210506 06:40:00']
['508', 'Wilson', '5', '20210506 06:40:37']
['509', 'Dempster', '5', '20210506 06:40:39']
['502', 'Main', '1', '20210506 06:40:37']
['504', 'Quincy', '5', '20210506 06:41:32']
['506', 'Sedgwick', '5', '20210506 06:41:38']
['509', 'Dempster', '5', '20210506 06:40:39']
['501', 'Armitage', '1', '20210506 06:42:34']
['502', 'Dempster', '1', '20210506 06:42:08']
['504', 'Washington/Wells', '5', '20210506 06:42:32']
['508', 'Sheridan', '5', '20210506 06:42:35']
['509', 'Main', '5', '20210506 06:42:05']
['502', 'Davis', '1', '20210506 06:43:33']
['504', 'Washington/Wells', '5', '20210506 06:43:33']
['506', 'Chicago', '5', '20210506 06:43:37']
['508', 'Sheridan', '5', '20210506 06:42:35']
['509', 'South Boulevard', '5', '20210506 06:43:25']
['502', 'Davis', '1', '20210506 06:44:36']
['504', 'Merchandise Mart', '1', '20210506 06:44:39']
['506', 'Chicago', '5', '20210506 06:44:29']
['509', 'Howard', '5', '20210506 06:44:33']
['501', 'Diversey', '1', '20210506 06:45:36']
['504', 'Merchandise Mart', '1', '20210506 06:45:23']
['509', 'Howard', '5', '20210506 06:45:36']
['501', 'Diversey', '1', '20210506 06:46:33']
['502', 'Noyes', '1', '20210506 06:46:26']
['506', 'Merchandise Mart', '5', '20210506 06:46:38']
['508', 'Belmont', '5', '20210506 06:46:15']
['510', 'Central', '5', '20210506 06:46:20']
['501', 'Wellington', '1', '20210506 06:46:56']
['504', 'Chicago', '1', '20210506 06:47:33']
['508', 'Belmont', '5', '20210506 06:47:38']
['510', 'Central', '5', '20210506 06:47:26']
['501', 'Belmont', '1', '20210506 06:48:36']
['502', 'Central', '1', '20210506 06:48:39']
['508', 'Wellington', '5', '20210506 06:48:19']
['503', 'Main', '1', '20210506 06:49:30']
['506', 'State/Lake', '5', '20210506 06:49:38']
