['503', 'Sheridan', '0', '5', '20210513 05:43:31']
['506', 'Dempster', '0', '1', '20210513 05:43:08']
['501', 'Main', '1', '5', '20210513 05:43:02']
['502', 'Merchandise Mart', '0', '5', '20210513 05:44:26']
['503', 'Sheridan', '1', '5', '20210513 05:43:04']
['506', 'Davis', '0', '1', '20210513 05:44:37']
['501', 'South Boulevard', '1', '5', '20210513 05:44:24']
['502', 'Merchandise Mart', '1', '5', '20210513 05:44:32']
['503', 'Belmont', '0', '5', '20210513 05:46:25']
['506', 'Davis', '0', '1', '20210513 05:44:37']
['501', 'Howard', '1', '5', '20210513 05:45:37']
['502', 'Clark/Lake', '0', '5', '20210513 05:47:38']
['503', 'Belmont', '0', '5', '20210513 05:46:24']
['506', 'Foster', '0', '1', '20210513 05:45:50']
['501', 'Howard', '1', '5', '20210513 05:45:37']
['502', 'Clark/Lake', '0', '5', '20210513 05:47:38']
['503', 'Belmont', '1', '5', '20210513 05:46:39']
['506', 'Noyes', '1', '1', '20210513 05:46:35']
['501', 'Wilson', '0', '5', '20210513 05:55:27']
['502', 'State/Lake', '1', '5', '20210513 05:47:21']
['503', 'Wellington', '1', '5', '20210513 05:47:35']
['506', 'Noyes', '1', '1', '20210513 05:46:35']
['501', 'Wilson', '0', '5', '20210513 05:55:27']
['502', 'State/Lake', '1', '5', '20210513 05:48:36']
['503', 'Wellington', '1', '5', '20210513 05:48:22']
['504', 'Central', '1', '5', '20210513 05:48:21']
['506', 'Central', '1', '1', '20210513 05:48:34']
['501', 'Wilson', '0', '5', '20210513 05:55:27']
['502', 'Adams/Wabash', '1', '5', '20210513 05:49:39']
['503', 'Diversey', '1', '5', '20210513 05:49:13']
['504', 'Central', '1', '5', '20210513 05:49:07']
['506', 'Linden', '0', '1', '20210513 05:50:00']
['501', 'Wilson', '0', '5', '20210513 05:55:27']
['502', 'Adams/Wabash', '1', '5', '20210513 05:50:19']
['503', 'Fullerton', '0', '5', '20210513 05:51:23']
['504', 'Davis', '0', '5', '20210513 05:50:57']
['506', 'Linden', '1', '1', '20210513 05:50:24']
['501', 'Wilson', '0', '5', '20210513 05:56:21']
['502', 'LaSalle/Van Buren', '0', '5', '20210513 05:52:08']
['503', 'Fullerton', '1', '5', '20210513 05:51:33']
['504', 'Davis', '1', '5', '20210513 05:51:26']
['506', 'Linden', '1', '1', '20210513 05:51:19']
['501', 'Wilson', '0', '5', '20210513 05:55:37']
['502', 'LaSalle/Van Buren', '1', '5', '20210513 05:52:30']
['503', 'Armitage', '0', '5', '20210513 05:52:44']
['504', 'Davis', '1', '5', '20210513 05:52:36']
['501', 'Wilson', '0', '5', '20210513 05:54:37']
['502', 'LaSalle/Van Buren', '1', '5', '20210513 05:53:35']
['503', 'Sedgwick', '0', '5', '20210513 05:55:30']
['504', 'Davis', '1', '5', '20210513 05:53:11']
['501', 'Wilson', '1', '5', '20210513 05:54:29']
['502', 'Quincy', '1', '5', '20210513 05:54:39']
['503', 'Sedgwick', '0', '5', '20210513 05:55:34']
['504', 'Dempster', '0', '5', '20210513 05:55:38']
['507', 'Main', '1', '1', '20210513 05:54:27']
['501', 'Sheridan', '0', '5', '20210513 05:56:28']
['502', 'Washington/Wells', '1', '5', '20210513 05:55:13']
['503', 'Sedgwick', '0', '5', '20210513 05:56:29']
['504', 'Dempster', '0', '5', '20210513 05:55:38']
['507', 'Main', '1', '1', '20210513 05:55:28']
['501', 'Sheridan', '0', '5', '20210513 05:57:24']
['502', 'Merchandise Mart', '0', '1', '20210513 05:57:11']
['503', 'Sedgwick', '1', '5', '20210513 05:56:03']
['504', 'Main', '1', '5', '20210513 05:56:01']
['507', 'Dempster', '0', '1', '20210513 05:56:49']
['501', 'Sheridan', '1', '5', '20210513 05:56:58']
['502', 'Merchandise Mart', '1', '1', '20210513 05:57:32']
['503', 'Chicago', '0', '5', '20210513 05:59:26']
['504', 'South Boulevard', '1', '5', '20210513 05:57:19']
['507', 'Davis', '0', '1', '20210513 05:58:10']
['501', 'Belmont', '0', '5', '20210513 06:00:23']
['502', 'Chicago', '0', '1', '20210513 05:59:27']
['503', 'Chicago', '0', '5', '20210513 05:59:39']
['504', 'Howard', '1', '5', '20210513 05:58:27']
['507', 'Foster', '0', '1', '20210513 05:59:21']
['501', 'Belmont', '0', '5', '20210513 06:00:23']
['502', 'Chicago', '1', '1', '20210513 05:59:17']
['503', 'Chicago', '1', '5', '20210513 05:59:39']
['504', 'Howard', '1', '5', '20210513 05:59:33']
['507', 'Foster', '1', '1', '20210513 05:59:32']
['501', 'Belmont', '1', '5', '20210513 06:00:38']
['502', 'Sedgwick', '0', '1', '20210513 06:02:27']
['503', 'Merchandise Mart', '0', '5', '20210513 06:01:35']
['504', 'Wilson', '0', '5', '20210513 06:08:04']
['507', 'Noyes', '1', '1', '20210513 05:59:56']
['501', 'Wellington', '1', '5', '20210513 06:01:13']
['502', 'Sedgwick', '0', '1', '20210513 06:02:35']
['503', 'Merchandise Mart', '1', '5', '20210513 06:01:36']
['504', 'Wilson', '0', '5', '20210513 06:08:04']
['507', 'Central', '0', '1', '20210513 06:01:58']
['501', 'Diversey', '1', '5', '20210513 06:02:38']
['502', 'Sedgwick', '1', '1', '20210513 06:02:32']
['503', 'Merchandise Mart', '1', '5', '20210513 06:02:19']
['504', 'Wilson', '0', '5', '20210513 06:08:04']
['507', 'Linden', '0', '1', '20210513 06:03:15']
