['514', 'Dempster', '0', '1', '20210513 14:01:29']
['518', 'Davis', '0', '5', '20210513 14:01:22']
['514', 'Dempster', '1', '1', '20210513 14:01:28']
['518', 'Davis', '0', '5', '20210513 14:01:22']
['514', 'Davis', '0', '1', '20210513 14:02:46']
['518', 'Davis', '1', '5', '20210513 14:02:20']
['514', 'Foster', '0', '1', '20210513 14:03:56']
['518', 'Davis', '1', '5', '20210513 14:03:27']
['514', 'Noyes', '1', '1', '20210513 14:04:24']
['518', 'Davis', '1', '5', '20210513 14:04:31']
['514', 'Central', '0', '1', '20210513 14:06:19']
['518', 'Dempster', '0', '5', '20210513 14:05:56']
['514', 'Linden', '1', '1', '20210513 14:06:34']
['518', 'Main', '1', '5', '20210513 14:06:33']
['514', 'Linden', '1', '1', '20210513 14:07:48']
['518', 'South Boulevard', '1', '5', '20210513 14:07:55']
['514', 'Linden', '1', '1', '20210513 14:07:48']
['518', 'South Boulevard', '1', '5', '20210513 14:08:26']
['518', 'Howard', '1', '5', '20210513 14:09:06']
['519', 'Main', '1', '1', '20210513 14:09:31']
['513', 'Central', '1', '5', '20210513 14:10:24']
['519', 'Main', '1', '1', '20210513 14:10:37']
['513', 'Central', '1', '5', '20210513 14:10:49']
['519', 'Dempster', '0', '1', '20210513 14:12:00']
['513', 'Davis', '0', '5', '20210513 14:12:41']
['519', 'Davis', '1', '1', '20210513 14:12:22']
['513', 'Davis', '1', '5', '20210513 14:13:35']
['519', 'Noyes', '0', '1', '20210513 14:14:35']
['513', 'Davis', '1', '5', '20210513 14:14:16']
['519', 'Noyes', '0', '1', '20210513 14:14:35']
['513', 'Davis', '1', '5', '20210513 14:14:57']
['519', 'Noyes', '1', '1', '20210513 14:15:11']
['513', 'Dempster', '0', '5', '20210513 14:17:21']
['519', 'Central', '0', '1', '20210513 14:17:09']
['513', 'Dempster', '0', '5', '20210513 14:17:21']
['519', 'Linden', '1', '1', '20210513 14:17:29']
['513', 'Main', '1', '5', '20210513 14:18:04']
['519', 'Linden', '1', '1', '20210513 14:17:29']
['513', 'South Boulevard', '1', '5', '20210513 14:19:28']
['519', 'Linden', '1', '1', '20210513 14:18:45']
['513', 'South Boulevard', '1', '5', '20210513 14:19:58']
['513', 'Howard', '1', '5', '20210513 14:20:45']
['513', 'Wilson', '0', '5', '20210513 14:31:29']
['513', 'Wilson', '0', '5', '20210513 14:31:29']
['518', 'South Boulevard', '1', '1', '20210513 14:23:34']
['513', 'Wilson', '0', '5', '20210513 14:31:29']
['514', 'Central', '1', '5', '20210513 14:23:57']
['518', 'Main', '1', '1', '20210513 14:24:05']
['513', 'Wilson', '0', '5', '20210513 14:31:29']
['514', 'Central', '1', '5', '20210513 14:24:46']
['518', 'Dempster', '0', '1', '20210513 14:26:28']
['513', 'Wilson', '0', '5', '20210513 14:31:13']
['514', 'Davis', '0', '5', '20210513 14:26:41']
['518', 'Dempster', '1', '1', '20210513 14:26:23']
['513', 'Wilson', '0', '5', '20210513 14:30:27']
['514', 'Davis', '1', '5', '20210513 14:27:35']
['518', 'Davis', '0', '1', '20210513 14:27:45']
['513', 'Wilson', '0', '5', '20210513 14:29:32']
['514', 'Davis', '1', '5', '20210513 14:28:16']
['518', 'Noyes', '0', '1', '20210513 14:28:57']
['513', 'Wilson', '1', '5', '20210513 14:29:28']
['514', 'Davis', '1', '5', '20210513 14:28:50']
['518', 'Noyes', '1', '1', '20210513 14:29:39']
['513', 'Wilson', '1', '5', '20210513 14:30:33']
['514', 'Davis', '1', '5', '20210513 14:30:07']
['518', 'Noyes', '1', '1', '20210513 14:29:39']
['513', 'Sheridan', '0', '5', '20210513 14:32:48']
['514', 'Davis', '1', '5', '20210513 14:30:07']
['515', 'Central', '1', '5', '20210513 14:31:38']
['518', 'Central', '1', '1', '20210513 14:31:37']
['513', 'Sheridan', '0', '5', '20210513 14:32:48']
['514', 'Dempster', '0', '5', '20210513 14:33:05']
['515', 'Central', '1', '5', '20210513 14:32:38']
['518', 'Linden', '1', '1', '20210513 14:31:59']
