['503', 'Main', '1', '20210504 04:59:44']
['501', 'South Boulevard', '5', '20210504 05:02:05']
['501', 'Howard', '5', '20210504 05:03:19']
['501', 'Howard', '5', '20210504 05:04:33']
['503', 'Noyes', '1', '20210504 05:05:24']
['502', 'Central', '5', '20210504 05:06:32']
['502', 'Central', '5', '20210504 05:07:32']
['503', 'Linden', '1', '20210504 05:07:18']
['502', 'Davis', '5', '20210504 05:08:26']
['503', 'Linden', '1', '20210504 05:07:18']
['502', 'Davis', '5', '20210504 05:08:26']
['503', 'Linden', '1', '20210504 05:08:40']
['502', 'Davis', '5', '20210504 05:10:34']
['502', 'Davis', '5', '20210504 05:11:35']
['502', 'Davis', '5', '20210504 05:11:35']
['502', 'Dempster', '5', '20210504 05:14:31']
['1000', 'South Boulevard', '1', '20210504 05:16:31']
['502', 'South Boulevard', '5', '20210504 05:16:09']
['1000', 'Main', '1', '20210504 05:17:02']
['502', 'Howard', '5', '20210504 05:17:23']
['502', 'Howard', '5', '20210504 05:18:35']
['1000', 'Dempster', '1', '20210504 05:19:35']
['503', 'Central', '5', '20210504 05:21:12']
['501', 'Foster', '1', '20210504 05:22:18']
['503', 'Central', '5', '20210504 05:22:00']
['501', 'Noyes', '1', '20210504 05:22:40']
['503', 'Noyes', '5', '20210504 05:22:53']
['501', 'Central', '1', '20210504 05:24:38']
['503', 'Davis', '5', '20210504 05:24:17']
['501', 'Linden', '1', '20210504 05:25:05']
['503', 'Davis', '5', '20210504 05:25:25']
['501', 'Linden', '1', '20210504 05:26:25']
['502', 'Wilson', '5', '20210504 05:26:27']
['503', 'Davis', '5', '20210504 05:26:04']
['504', 'South Boulevard', '1', '20210504 05:26:38']
['501', 'Linden', '1', '20210504 05:27:23']
['504', 'Main', '1', '20210504 05:27:10']
['502', 'Sheridan', '5', '20210504 05:28:13']
['502', 'Sheridan', '5', '20210504 05:29:37']
['503', 'South Boulevard', '5', '20210504 05:30:27']
['503', 'Howard', '5', '20210504 05:31:33']
['502', 'Belmont', '5', '20210504 05:32:33']
['503', 'Howard', '5', '20210504 05:32:36']
['504', 'Foster', '1', '20210504 05:32:28']
['502', 'Wellington', '5', '20210504 05:33:29']
