['501', 'Diversey', '5', '20210430 06:08:23']
['503', 'Quincy', '5', '20210430 06:08:38']
['504', 'Wilson', '5', '20210430 06:08:35']
['506', 'Davis', '5', '20210430 06:08:29']
['503', 'Quincy', '5', '20210430 06:09:37']
['506', 'Davis', '5', '20210430 06:09:09']
['501', 'Fullerton', '5', '20210430 06:10:35']
['502', 'Sedgwick', '1', '20210430 06:10:38']
['503', 'Washington/Wells', '5', '20210430 06:10:30']
['506', 'Davis', '5', '20210430 06:09:57']
['501', 'Armitage', '5', '20210430 06:11:40']
['506', 'Dempster', '5', '20210430 06:11:31']
['509', 'Noyes', '1', '20210430 06:11:02']
['503', 'Merchandise Mart', '1', '20210430 06:11:57']
['506', 'Dempster', '5', '20210430 06:11:31']
['503', 'Merchandise Mart', '1', '20210430 06:13:29']
['506', 'Main', '5', '20210430 06:13:06']
['502', 'Armitage', '1', '20210430 06:14:36']
['504', 'Belmont', '5', '20210430 06:14:39']
['506', 'South Boulevard', '5', '20210430 06:14:30']
['509', 'Linden', '1', '20210430 06:14:21']
['501', 'Sedgwick', '5', '20210430 06:15:07']
['503', 'Chicago', '1', '20210430 06:15:36']
['504', 'Wellington', '5', '20210430 06:15:02']
['506', 'South Boulevard', '5', '20210430 06:15:02']
['509', 'Linden', '1', '20210430 06:15:15']
['502', 'Fullerton', '1', '20210430 06:16:24']
['503', 'Chicago', '1', '20210430 06:16:37']
['504', 'Diversey', '5', '20210430 06:16:34']
['506', 'Howard', '5', '20210430 06:15:48']
['510', 'South Boulevard', '1', '20210430 06:16:15']
['510', 'Main', '1', '20210430 06:16:49']
['501', 'Chicago', '5', '20210430 06:18:39']
['502', 'Diversey', '1', '20210430 06:18:37']
['504', 'Fullerton', '5', '20210430 06:18:37']
['510', 'Dempster', '1', '20210430 06:18:18']
['502', 'Wellington', '1', '20210430 06:19:01']
['503', 'Sedgwick', '1', '20210430 06:19:34']
['504', 'Armitage', '5', '20210430 06:19:28']
['501', 'Merchandise Mart', '5', '20210430 06:20:35']
['502', 'Belmont', '1', '20210430 06:20:40']
['508', 'Central', '5', '20210430 06:20:19']
['510', 'Davis', '1', '20210430 06:20:37']
['501', 'Merchandise Mart', '5', '20210430 06:21:19']
['508', 'Davis', '5', '20210430 06:22:28']
['510', 'Noyes', '1', '20210430 06:22:24']
['501', 'State/Lake', '5', '20210430 06:23:34']
['503', 'Armitage', '1', '20210430 06:23:31']
['504', 'Sedgwick', '5', '20210430 06:23:36']
['508', 'Davis', '5', '20210430 06:23:37']
['501', 'State/Lake', '5', '20210430 06:24:02']
['503', 'Fullerton', '1', '20210430 06:24:38']
['506', 'Wilson', '5', '20210430 06:24:39']
['508', 'Davis', '5', '20210430 06:24:10']
['504', 'Chicago', '5', '20210430 06:25:37']
['508', 'Dempster', '5', '20210430 06:25:37']
['501', 'Adams/Wabash', '5', '20210430 06:26:38']
['503', 'Diversey', '1', '20210430 06:26:31']
['504', 'Chicago', '5', '20210430 06:26:37']
['508', 'Dempster', '5', '20210430 06:25:37']
['510', 'Linden', '1', '20210430 06:26:08']
['503', 'Diversey', '1', '20210430 06:27:19']
['508', 'Main', '5', '20210430 06:27:03']
['501', 'Harold Washington Library-State/Van Buren', '5', '20210430 06:28:22']
['503', 'Wellington', '1', '20210430 06:28:30']
['504', 'Merchandise Mart', '5', '20210430 06:28:15']
['506', 'Sheridan', '5', '20210430 06:28:35']
['508', 'South Boulevard', '5', '20210430 06:28:23']
['501', 'Harold Washington Library-State/Van Buren', '5', '20210430 06:29:40']
['503', 'Belmont', '1', '20210430 06:29:16']
['508', 'Howard', '5', '20210430 06:29:33']
['501', 'LaSalle/Van Buren', '5', '20210430 06:30:28']
['504', 'Clark/Lake', '5', '20210430 06:30:18']
['506', 'Belmont', '5', '20210430 06:30:26']
['508', 'Howard', '5', '20210430 06:30:35']
['501', 'Quincy', '5', '20210430 06:31:38']
['504', 'State/Lake', '5', '20210430 06:31:38']
['506', 'Belmont', '5', '20210430 06:31:29']
['501', 'Quincy', '5', '20210430 06:32:32']
['504', 'State/Lake', '5', '20210430 06:32:35']
['506', 'Wellington', '5', '20210430 06:32:31']
['501', 'Washington/Wells', '5', '20210430 06:33:39']
['506', 'Diversey', '5', '20210430 06:33:25']
['504', 'Adams/Wabash', '5', '20210430 06:34:26']
['501', 'Merchandise Mart', '1', '20210430 06:35:14']
['506', 'Fullerton', '5', '20210430 06:35:34']
['501', 'Merchandise Mart', '1', '20210430 06:35:14']
['504', 'LaSalle/Van Buren', '5', '20210430 06:36:31']
['501', 'Merchandise Mart', '1', '20210430 06:37:00']
['504', 'LaSalle/Van Buren', '5', '20210430 06:37:37']
['506', 'Armitage', '5', '20210430 06:37:27']
['508', 'Wilson', '5', '20210430 06:37:33']
['509', 'Davis', '5', '20210430 06:37:21']
['504', 'Quincy', '5', '20210430 06:38:32']
