['513', 'Central', '1', '20210510 14:00:36']
['517', 'Howard', '5', '20210510 13:59:27']
['518', 'Central', '5', '20210510 14:00:15']
['513', 'Linden', '1', '20210510 14:02:05']
['518', 'Davis', '5', '20210510 14:02:26']
['518', 'Davis', '5', '20210510 14:03:40']
['514', 'Main', '1', '20210510 14:04:33']
['518', 'Davis', '5', '20210510 14:04:17']
['514', 'Main', '1', '20210510 14:05:37']
['518', 'Davis', '5', '20210510 14:05:30']
['514', 'Dempster', '1', '20210510 14:06:03']
['518', 'Dempster', '5', '20210510 14:05:54']
['518', 'Main', '5', '20210510 14:07:29']
['514', 'Davis', '1', '20210510 14:08:28']
['518', 'Main', '5', '20210510 14:08:34']
['513', 'Central', '5', '20210510 14:08:54']
['518', 'South Boulevard', '5', '20210510 14:09:32']
['514', 'Noyes', '1', '20210510 14:10:14']
['518', 'Howard', '5', '20210510 14:10:23']
['518', 'Howard', '5', '20210510 14:11:32']
['519', 'South Boulevard', '1', '20210510 14:11:32']
['513', 'Davis', '5', '20210510 14:12:21']
['519', 'Main', '1', '20210510 14:11:42']
['513', 'Davis', '5', '20210510 14:13:36']
['514', 'Linden', '1', '20210510 14:13:53']
['519', 'Dempster', '1', '20210510 14:13:21']
['513', 'Davis', '5', '20210510 14:13:36']
['514', 'Linden', '1', '20210510 14:13:53']
['519', 'Dempster', '1', '20210510 14:14:21']
['513', 'Dempster', '5', '20210510 14:14:58']
['513', 'Main', '5', '20210510 14:16:29']
['513', 'Main', '5', '20210510 14:17:35']
['519', 'Noyes', '1', '20210510 14:17:39']
['513', 'South Boulevard', '5', '20210510 14:18:28']
['519', 'Noyes', '1', '20210510 14:17:39']
['513', 'Howard', '5', '20210510 14:19:21']
['519', 'Central', '1', '20210510 14:19:30']
['514', 'Central', '5', '20210510 14:21:39']
['519', 'Linden', '1', '20210510 14:21:15']
['514', 'Central', '5', '20210510 14:22:30']
['514', 'Davis', '5', '20210510 14:25:33']
['518', 'South Boulevard', '1', '20210510 14:25:30']
['514', 'Davis', '5', '20210510 14:26:30']
['514', 'Davis', '5', '20210510 14:26:30']
['518', 'Dempster', '1', '20210510 14:27:18']
['514', 'Dempster', '5', '20210510 14:28:04']
['518', 'Dempster', '1', '20210510 14:28:20']
['514', 'Main', '5', '20210510 14:29:39']
['513', 'Wilson', '5', '20210510 14:30:29']
['514', 'Main', '5', '20210510 14:29:39']
['514', 'South Boulevard', '5', '20210510 14:31:14']
['518', 'Noyes', '1', '20210510 14:31:28']
['514', 'Howard', '5', '20210510 14:32:39']
['515', 'Central', '5', '20210510 14:31:49']
['513', 'Sheridan', '5', '20210510 14:33:38']
['514', 'Howard', '5', '20210510 14:32:39']
['518', 'Central', '1', '20210510 14:33:20']
['515', 'Davis', '5', '20210510 14:35:25']
['518', 'Linden', '1', '20210510 14:34:58']
['515', 'Davis', '5', '20210510 14:36:08']
['513', 'Belmont', '5', '20210510 14:37:35']
['515', 'Davis', '5', '20210510 14:36:50']
['520', 'Main', '1', '20210510 14:37:27']
['513', 'Wellington', '5', '20210510 14:38:02']
['515', 'Dempster', '5', '20210510 14:38:19']
['520', 'Main', '1', '20210510 14:38:31']
['513', 'Diversey', '5', '20210510 14:39:32']
['515', 'Dempster', '5', '20210510 14:38:19']
['520', 'Dempster', '1', '20210510 14:38:58']
['513', 'Diversey', '5', '20210510 14:40:30']
['515', 'Main', '5', '20210510 14:39:52']
['513', 'Fullerton', '5', '20210510 14:41:36']
['514', 'Wilson', '5', '20210510 14:41:36']
['515', 'South Boulevard', '5', '20210510 14:41:26']
['515', 'South Boulevard', '5', '20210510 14:42:02']
['513', 'Armitage', '5', '20210510 14:43:33']
['515', 'Howard', '5', '20210510 14:42:56']
['520', 'Noyes', '1', '20210510 14:43:11']
['513', 'Sedgwick', '5', '20210510 14:46:24']
['514', 'Belmont', '5', '20210510 14:47:34']
['519', 'Central', '5', '20210510 14:47:34']
['520', 'Linden', '1', '20210510 14:46:41']
['506', 'South Boulevard', '1', '20210510 14:48:24']
['514', 'Wellington', '5', '20210510 14:48:30']
['519', 'Central', '5', '20210510 14:48:30']
['513', 'Chicago', '5', '20210510 14:49:26']
['514', 'Wellington', '5', '20210510 14:49:18']
['506', 'Dempster', '1', '20210510 14:50:39']
['514', 'Diversey', '5', '20210510 14:50:15']
['506', 'Dempster', '1', '20210510 14:50:39']
['513', 'Merchandise Mart', '5', '20210510 14:51:37']
['519', 'Davis', '5', '20210510 14:51:38']
['513', 'Merchandise Mart', '5', '20210510 14:52:23']
['514', 'Fullerton', '5', '20210510 14:52:32']
['515', 'Wilson', '5', '20210510 14:52:34']
['519', 'Davis', '5', '20210510 14:51:56']
['514', 'Armitage', '5', '20210510 14:53:27']
['519', 'Davis', '5', '20210510 14:52:42']
['513', 'Clark/Lake', '5', '20210510 14:54:26']
['519', 'Dempster', '5', '20210510 14:54:30']
['506', 'Noyes', '1', '20210510 14:55:10']
['513', 'State/Lake', '5', '20210510 14:55:35']
['519', 'Dempster', '5', '20210510 14:54:30']
['519', 'Main', '5', '20210510 14:56:12']
['513', 'Adams/Wabash', '5', '20210510 14:57:35']
['514', 'Sedgwick', '5', '20210510 14:57:36']
['518', 'Central', '5', '20210510 14:57:33']
['519', 'Main', '5', '20210510 14:57:27']
['513', 'Adams/Wabash', '5', '20210510 14:58:37']
['515', 'Belmont', '5', '20210510 14:58:36']
['518', 'Central', '5', '20210510 14:58:21']
['519', 'South Boulevard', '5', '20210510 14:58:36']
['506', 'Linden', '1', '20210510 14:58:48']
['513', 'Harold Washington Library-State/Van Buren', '5', '20210510 14:59:35']
['515', 'Wellington', '5', '20210510 14:59:32']
['519', 'Howard', '5', '20210510 14:59:31']
['513', 'LaSalle/Van Buren', '5', '20210510 15:00:34']
['514', 'Chicago', '5', '20210510 15:00:32']
['515', 'Diversey', '5', '20210510 15:00:24']
['518', 'Davis', '5', '20210510 15:00:38']
['519', 'Howard', '5', '20210510 14:59:31']
['508', 'South Boulevard', '1', '20210510 15:01:13']
['513', 'Quincy', '5', '20210510 15:01:34']
['518', 'Davis', '5', '20210510 15:01:29']
['513', 'Quincy', '5', '20210510 15:02:35']
['514', 'Merchandise Mart', '5', '20210510 15:02:25']
['515', 'Fullerton', '5', '20210510 15:02:38']
['518', 'Davis', '5', '20210510 15:02:26']
['508', 'Dempster', '1', '20210510 15:03:30']
['513', 'Washington/Wells', '5', '20210510 15:03:35']
['515', 'Armitage', '5', '20210510 15:03:36']
['518', 'Davis', '5', '20210510 15:03:31']
['508', 'Dempster', '1', '20210510 15:04:26']
['513', 'Merchandise Mart', '1', '20210510 15:04:54']
['514', 'State/Lake', '5', '20210510 15:05:28']
['518', 'Main', '5', '20210510 15:06:29']
['508', 'Foster', '1', '20210510 15:07:24']
['514', 'Adams/Wabash', '5', '20210510 15:07:34']
['515', 'Sedgwick', '5', '20210510 15:07:39']
['518', 'South Boulevard', '5', '20210510 15:07:31']
['518', 'Howard', '5', '20210510 15:08:25']
['519', 'Wilson', '5', '20210510 15:08:55']
['520', 'Central', '5', '20210510 15:08:29']
['508', 'Central', '1', '20210510 15:09:34']
['514', 'Harold Washington Library-State/Van Buren', '5', '20210510 15:09:31']
['518', 'Howard', '5', '20210510 15:09:32']
['520', 'Central', '5', '20210510 15:09:20']
['514', 'LaSalle/Van Buren', '5', '20210510 15:10:32']
['515', 'Chicago', '5', '20210510 15:10:37']
['508', 'Linden', '1', '20210510 15:11:04']
['513', 'Sedgwick', '1', '20210510 15:11:37']
['514', 'Quincy', '5', '20210510 15:11:32']
['520', 'Davis', '5', '20210510 15:11:40']
['514', 'Quincy', '5', '20210510 15:12:32']
['515', 'Merchandise Mart', '5', '20210510 15:12:37']
['520', 'Davis', '5', '20210510 15:12:23']
['514', 'Washington/Wells', '5', '20210510 15:13:39']
['520', 'Davis', '5', '20210510 15:13:22']
['507', 'Dempster', '1', '20210510 15:14:19']
['513', 'Armitage', '1', '20210510 15:14:22']
['520', 'Davis', '5', '20210510 15:14:30']
['513', 'Armitage', '1', '20210510 15:15:26']
['514', 'Merchandise Mart', '1', '20210510 15:14:49']
['515', 'State/Lake', '5', '20210510 15:15:39']
['519', 'Wellington', '5', '20210510 15:15:12']
['507', 'Davis', '1', '20210510 15:16:36']
['514', 'Merchandise Mart', '1', '20210510 15:16:12']
['515', 'State/Lake', '5', '20210510 15:16:31']
['519', 'Diversey', '5', '20210510 15:16:38']
['515', 'Washington/Wabash', '5', '20210510 15:17:32']
['519', 'Diversey', '5', '20210510 15:17:36']
['520', 'Main', '5', '20210510 15:17:27']
['507', 'Noyes', '1', '20210510 15:18:22']
['513', 'Diversey', '1', '20210510 15:18:30']
['514', 'Chicago', '1', '20210510 15:18:29']
['515', 'Adams/Wabash', '5', '20210510 15:18:14']
['520', 'South Boulevard', '5', '20210510 15:18:28']
['515', 'Harold Washington Library-State/Van Buren', '5', '20210510 15:19:39']
['518', 'Wilson', '5', '20210510 15:19:32']
['519', 'Fullerton', '5', '20210510 15:19:30']
['520', 'Howard', '5', '20210510 15:19:20']
['513', 'Wellington', '1', '20210510 15:20:23']
['515', 'LaSalle/Van Buren', '5', '20210510 15:20:34']
['518', 'Wilson', '5', '20210510 15:20:31']
['519', 'Armitage', '5', '20210510 15:20:27']
['507', 'Linden', '1', '20210510 15:21:37']
['513', 'Belmont', '1', '20210510 15:21:08']
['514', 'Sedgwick', '1', '20210510 15:21:31']
['515', 'LaSalle/Van Buren', '5', '20210510 15:21:33']
['522', 'Central', '5', '20210510 15:21:30']
['507', 'Linden', '1', '20210510 15:22:33']
['514', 'Sedgwick', '1', '20210510 15:22:27']
['515', 'Quincy', '5', '20210510 15:22:33']
['518', 'Sheridan', '5', '20210510 15:22:11']
['522', 'Central', '5', '20210510 15:22:19']
['515', 'Washington/Wells', '5', '20210510 15:23:35']
['519', 'Sedgwick', '5', '20210510 15:24:07']
['522', 'Davis', '5', '20210510 15:24:39']
['509', 'South Boulevard', '1', '20210510 15:25:40']
['515', 'Merchandise Mart', '1', '20210510 15:25:35']
['518', 'Belmont', '5', '20210510 15:25:38']
['522', 'Davis', '5', '20210510 15:25:40']
['518', 'Wellington', '5', '20210510 15:26:09']
['522', 'Davis', '5', '20210510 15:26:28']
['509', 'Main', '1', '20210510 15:27:31']
['515', 'Chicago', '1', '20210510 15:27:28']
['518', 'Diversey', '5', '20210510 15:27:29']
['519', 'Chicago', '5', '20210510 15:27:26']
['520', 'Wilson', '5', '20210510 15:27:39']
['522', 'Davis', '5', '20210510 15:27:39']
['509', 'Dempster', '1', '20210510 15:27:58']
['515', 'Chicago', '1', '20210510 15:28:39']
['519', 'Chicago', '5', '20210510 15:28:21']
