['501', 'South Boulevard', '5', '20210429 05:00:10']
['503', 'Dempster', '1', '20210429 05:00:19']
['501', 'Howard', '5', '20210429 05:00:58']
['503', 'Davis', '1', '20210429 05:02:32']
['503', 'Noyes', '1', '20210429 05:04:22']
['502', 'Central', '5', '20210429 05:05:34']
['502', 'Noyes', '5', '20210429 05:06:33']
['503', 'Linden', '1', '20210429 05:06:33']
['502', 'Davis', '5', '20210429 05:07:21']
['503', 'Linden', '1', '20210429 05:06:33']
['502', 'Davis', '5', '20210429 05:07:21']
['503', 'Linden', '1', '20210429 05:08:23']
['502', 'Davis', '5', '20210429 05:09:31']
['502', 'Davis', '5', '20210429 05:10:39']
['502', 'Davis', '5', '20210429 05:10:39']
['502', 'Dempster', '5', '20210429 05:13:38']
['502', 'South Boulevard', '5', '20210429 05:16:15']
['501', 'South Boulevard', '1', '20210429 05:17:22']
['502', 'Howard', '5', '20210429 05:16:52']
['501', 'Dempster', '1', '20210429 05:20:33']
['503', 'Central', '5', '20210429 05:20:39']
['503', 'Central', '5', '20210429 05:21:27']
['503', 'Noyes', '5', '20210429 05:22:15']
['501', 'Foster', '1', '20210429 05:23:27']
['503', 'Noyes', '5', '20210429 05:22:15']
['501', 'Noyes', '1', '20210429 05:23:50']
['503', 'Davis', '5', '20210429 05:24:20']
['502', 'Wilson', '5', '20210429 05:25:37']
['503', 'Davis', '5', '20210429 05:25:24']
['503', 'Davis', '5', '20210429 05:26:26']
['504', 'South Boulevard', '1', '20210429 05:26:30']
['504', 'Main', '1', '20210429 05:27:04']
['501', 'Linden', '1', '20210429 05:27:45']
['502', 'Sheridan', '5', '20210429 05:27:44']
['503', 'Main', '5', '20210429 05:29:21']
['504', 'Dempster', '1', '20210429 05:29:32']
['503', 'South Boulevard', '5', '20210429 05:30:28']
['502', 'Belmont', '5', '20210429 05:31:22']
['503', 'Howard', '5', '20210429 05:30:54']
['502', 'Wellington', '5', '20210429 05:32:26']
['504', 'Foster', '1', '20210429 05:32:20']
['502', 'Diversey', '5', '20210429 05:33:39']
['504', 'Noyes', '1', '20210429 05:32:41']
['502', 'Diversey', '5', '20210429 05:34:08']
['504', 'Central', '1', '20210429 05:34:35']
['501', 'Central', '5', '20210429 05:36:33']
['502', 'Fullerton', '5', '20210429 05:36:32']
['504', 'Linden', '1', '20210429 05:36:19']
['501', 'Central', '5', '20210429 05:37:22']
['502', 'Armitage', '5', '20210429 05:37:38']
['504', 'Linden', '1', '20210429 05:37:36']
['501', 'Noyes', '5', '20210429 05:38:19']
['503', 'Wilson', '5', '20210429 05:38:33']
['501', 'Noyes', '5', '20210429 05:38:19']
['503', 'Wilson', '5', '20210429 05:39:30']
['501', 'Davis', '5', '20210429 05:39:49']
['501', 'Davis', '5', '20210429 05:40:56']
['502', 'Sedgwick', '5', '20210429 05:41:09']
['503', 'Sheridan', '5', '20210429 05:41:36']
['501', 'Davis', '5', '20210429 05:40:56']
['503', 'Sheridan', '5', '20210429 05:41:36']
['506', 'South Boulevard', '1', '20210429 05:42:32']
['501', 'Davis', '5', '20210429 05:42:45']
['506', 'Main', '1', '20210429 05:43:07']
['502', 'Chicago', '5', '20210429 05:44:36']
['503', 'Belmont', '5', '20210429 05:45:34']
['506', 'Dempster', '1', '20210429 05:45:37']
['503', 'Wellington', '5', '20210429 05:46:03']
['501', 'Main', '5', '20210429 05:47:17']
['502', 'Merchandise Mart', '5', '20210429 05:47:30']
['503', 'Diversey', '5', '20210429 05:47:33']
['501', 'South Boulevard', '5', '20210429 05:48:20']
['506', 'Foster', '1', '20210429 05:48:33']
['501', 'Howard', '5', '20210429 05:48:56']
['502', 'Clark/Lake', '5', '20210429 05:49:14']
['503', 'Fullerton', '5', '20210429 05:49:39']
['506', 'Noyes', '1', '20210429 05:48:59']
['502', 'State/Lake', '5', '20210429 05:50:27']
['503', 'Armitage', '5', '20210429 05:50:34']
['502', 'State/Lake', '5', '20210429 05:51:09']
['504', 'Central', '5', '20210429 05:51:33']
['504', 'Noyes', '5', '20210429 05:52:21']
['502', 'Washington/Wabash', '5', '20210429 05:53:37']
['504', 'Noyes', '5', '20210429 05:52:21']
['506', 'Linden', '1', '20210429 05:52:56']
['502', 'Adams/Wabash', '5', '20210429 05:54:38']
['503', 'Sedgwick', '5', '20210429 05:54:39']
['504', 'Davis', '5', '20210429 05:54:32']
['502', 'Harold Washington Library-State/Van Buren', '5', '20210429 05:55:38']
['504', 'Davis', '5', '20210429 05:55:31']
['507', 'Main', '1', '20210429 05:55:38']
['502', 'LaSalle/Van Buren', '5', '20210429 05:56:33']
['504', 'Davis', '5', '20210429 05:55:31']
['507', 'Main', '1', '20210429 05:55:38']
['501', 'Wilson', '5', '20210429 05:57:31']
['502', 'Quincy', '5', '20210429 05:57:29']
['503', 'Chicago', '5', '20210429 05:57:38']
['502', 'Quincy', '5', '20210429 05:58:36']
['502', 'Washington/Wells', '5', '20210429 05:59:39']
['503', 'Merchandise Mart', '5', '20210429 05:59:39']
['507', 'Davis', '1', '20210429 05:59:32']
['501', 'Sheridan', '5', '20210429 05:59:58']
['504', 'South Boulevard', '5', '20210429 06:00:10']
['501', 'Sheridan', '5', '20210429 06:01:24']
['502', 'Merchandise Mart', '1', '20210429 06:01:15']
['504', 'Howard', '5', '20210429 06:01:24']
['507', 'Noyes', '1', '20210429 06:01:20']
['503', 'Clark/Lake', '5', '20210429 06:02:16']
['504', 'Howard', '5', '20210429 06:02:31']
['501', 'Belmont', '5', '20210429 06:03:35']
['502', 'Chicago', '1', '20210429 06:03:28']
['501', 'Wellington', '5', '20210429 06:04:35']
['503', 'Washington/Wabash', '5', '20210429 06:04:25']
['501', 'Wellington', '5', '20210429 06:04:35']
['503', 'Adams/Wabash', '5', '20210429 06:05:38']
['506', 'Central', '5', '20210429 06:05:16']
['507', 'Linden', '1', '20210429 06:04:55']
['509', 'South Boulevard', '1', '20210429 06:05:27']
['501', 'Wellington', '5', '20210429 06:06:29']
['502', 'Sedgwick', '1', '20210429 06:06:35']
['503', 'Harold Washington Library-State/Van Buren', '5', '20210429 06:06:37']
['506', 'Central', '5', '20210429 06:06:03']
['509', 'Main', '1', '20210429 06:06:00']
['501', 'Diversey', '5', '20210429 06:07:20']
['502', 'Sedgwick', '1', '20210429 06:07:25']
['503', 'LaSalle/Van Buren', '5', '20210429 06:07:30']
['506', 'Noyes', '5', '20210429 06:06:54']
['503', 'Quincy', '5', '20210429 06:08:28']
['506', 'Davis', '5', '20210429 06:08:28']
['509', 'Dempster', '1', '20210429 06:08:24']
['501', 'Fullerton', '5', '20210429 06:09:37']
['503', 'Quincy', '5', '20210429 06:09:35']
['504', 'Wilson', '5', '20210429 06:09:32']
['506', 'Davis', '5', '20210429 06:09:36']
['502', 'Armitage', '1', '20210429 06:10:28']
['506', 'Davis', '5', '20210429 06:10:16']
['501', 'Armitage', '5', '20210429 06:11:35']
['503', 'Merchandise Mart', '1', '20210429 06:11:39']
['506', 'Davis', '5', '20210429 06:11:25']
['509', 'Noyes', '1', '20210429 06:11:25']
['502', 'Fullerton', '1', '20210429 06:12:24']
['504', 'Sheridan', '5', '20210429 06:12:01']
['503', 'Chicago', '1', '20210429 06:13:31']
['504', 'Sheridan', '5', '20210429 06:13:27']
['501', 'Sedgwick', '5', '20210429 06:14:39']
