['514', 'Merchandise Mart', '5', '20210429 15:02:39']
['515', 'Armitage', '5', '20210429 15:02:35']
['518', 'Davis', '5', '20210429 15:02:13']
['518', 'Davis', '5', '20210429 15:02:57']
['513', 'Chicago', '1', '20210429 15:04:20']
['514', 'Clark/Lake', '5', '20210429 15:04:27']
['518', 'Dempster', '5', '20210429 15:04:29']
['514', 'Clark/Lake', '5', '20210429 15:05:37']
['518', 'Dempster', '5', '20210429 15:04:29']
['514', 'State/Lake', '5', '20210429 15:06:16']
['515', 'Sedgwick', '5', '20210429 15:06:39']
['518', 'Main', '5', '20210429 15:06:04']
['508', 'Noyes', '1', '20210429 15:07:33']
['513', 'Sedgwick', '1', '20210429 15:07:31']
['514', 'State/Lake', '5', '20210429 15:07:28']
['518', 'South Boulevard', '5', '20210429 15:07:26']
['518', 'South Boulevard', '5', '20210429 15:07:57']
['508', 'Central', '1', '20210429 15:09:35']
['514', 'Adams/Wabash', '5', '20210429 15:09:36']
['515', 'Chicago', '5', '20210429 15:09:38']
['518', 'Howard', '5', '20210429 15:08:41']
['519', 'Wilson', '5', '20210429 15:10:29']
['520', 'Central', '5', '20210429 15:10:26']
['508', 'Linden', '1', '20210429 15:11:00']
['513', 'Armitage', '1', '20210429 15:11:35']
['514', 'Harold Washington Library-State/Van Buren', '5', '20210429 15:11:22']
['515', 'Merchandise Mart', '5', '20210429 15:11:32']
['507', 'Main', '1', '20210429 15:12:25']
['514', 'LaSalle/Van Buren', '5', '20210429 15:12:36']
['507', 'Main', '1', '20210429 15:13:27']
['514', 'Quincy', '5', '20210429 15:13:27']
['519', 'Sheridan', '5', '20210429 15:13:18']
['520', 'Davis', '5', '20210429 15:13:34']
['513', 'Diversey', '1', '20210429 15:14:34']
['514', 'Quincy', '5', '20210429 15:14:35']
['515', 'State/Lake', '5', '20210429 15:14:39']
['519', 'Sheridan', '5', '20210429 15:13:18']
['520', 'Davis', '5', '20210429 15:14:34']
['513', 'Diversey', '1', '20210429 15:15:31']
['515', 'State/Lake', '5', '20210429 15:15:32']
['520', 'Davis', '5', '20210429 15:14:34']
['513', 'Wellington', '1', '20210429 15:16:39']
['514', 'Merchandise Mart', '1', '20210429 15:16:26']
['520', 'Dempster', '5', '20210429 15:16:09']
['513', 'Belmont', '1', '20210429 15:17:25']
['514', 'Merchandise Mart', '1', '20210429 15:17:21']
['515', 'Adams/Wabash', '5', '20210429 15:17:22']
['518', 'Wilson', '5', '20210429 15:17:36']
['519', 'Belmont', '5', '20210429 15:17:30']
['520', 'Main', '5', '20210429 15:17:30']
['507', 'Noyes', '1', '20210429 15:18:08']
['515', 'Harold Washington Library-State/Van Buren', '5', '20210429 15:18:36']
['518', 'Wilson', '5', '20210429 15:18:36']
['519', 'Wellington', '5', '20210429 15:18:30']
['520', 'Main', '5', '20210429 15:17:41']
['514', 'Chicago', '1', '20210429 15:19:26']
['515', 'LaSalle/Van Buren', '5', '20210429 15:19:34']
['519', 'Diversey', '5', '20210429 15:19:22']
['520', 'South Boulevard', '5', '20210429 15:19:36']
['515', 'LaSalle/Van Buren', '5', '20210429 15:20:39']
['518', 'Sheridan', '5', '20210429 15:20:38']
['520', 'Howard', '5', '20210429 15:20:18']
['522', 'Central', '5', '20210429 15:20:33']
['515', 'Quincy', '5', '20210429 15:21:29']
['518', 'Sheridan', '5', '20210429 15:20:45']
['519', 'Fullerton', '5', '20210429 15:21:35']
['507', 'Linden', '1', '20210429 15:22:39']
['514', 'Sedgwick', '1', '20210429 15:22:37']
['515', 'Washington/Wells', '5', '20210429 15:22:18']
['519', 'Armitage', '5', '20210429 15:23:40']
['522', 'Davis', '5', '20210429 15:23:23']
['515', 'Merchandise Mart', '1', '20210429 15:24:27']
['518', 'Belmont', '5', '20210429 15:24:15']
['522', 'Davis', '5', '20210429 15:23:58']
['518', 'Wellington', '5', '20210429 15:25:20']
['522', 'Davis', '5', '20210429 15:24:46']
['509', 'Main', '1', '20210429 15:26:33']
['514', 'Armitage', '1', '20210429 15:26:38']
['515', 'Chicago', '1', '20210429 15:26:30']
['518', 'Diversey', '5', '20210429 15:26:32']
['522', 'Dempster', '5', '20210429 15:26:16']
['509', 'Main', '1', '20210429 15:27:29']
['518', 'Diversey', '5', '20210429 15:27:33']
['519', 'Sedgwick', '5', '20210429 15:27:32']
['522', 'Main', '5', '20210429 15:27:37']
['522', 'Main', '5', '20210429 15:27:46']
['514', 'Diversey', '1', '20210429 15:29:29']
['515', 'Sedgwick', '1', '20210429 15:29:31']
['520', 'Wilson', '5', '20210429 15:29:34']
['522', 'South Boulevard', '5', '20210429 15:29:14']
['514', 'Diversey', '1', '20210429 15:30:30']
['518', 'Armitage', '5', '20210429 15:30:33']
['519', 'Chicago', '5', '20210429 15:30:39']
['522', 'Howard', '5', '20210429 15:30:25']
['506', 'Howard', '5', '20210429 15:31:36']
['509', 'Foster', '1', '20210429 15:31:36']
['514', 'Wellington', '1', '20210429 15:30:54']
['509', 'Noyes', '1', '20210429 15:31:59']
['514', 'Belmont', '1', '20210429 15:32:31']
['519', 'Merchandise Mart', '5', '20210429 15:32:36']
['520', 'Sheridan', '5', '20210429 15:32:08']
['515', 'Armitage', '1', '20210429 15:33:39']
['519', 'Merchandise Mart', '5', '20210429 15:33:14']
['520', 'Sheridan', '5', '20210429 15:33:33']
['518', 'Sedgwick', '5', '20210429 15:34:30']
['509', 'Linden', '1', '20210429 15:35:22']
['513', 'South Boulevard', '1', '20210429 15:35:39']
['515', 'Fullerton', '1', '20210429 15:35:35']
['519', 'State/Lake', '5', '20210429 15:35:23']
['520', 'Belmont', '5', '20210429 15:35:33']
['508', 'Davis', '5', '20210429 15:36:30']
['509', 'Linden', '1', '20210429 15:36:38']
['513', 'Main', '1', '20210429 15:35:46']
['518', 'Chicago', '5', '20210429 15:36:35']
['519', 'State/Lake', '5', '20210429 15:36:34']
['520', 'Belmont', '5', '20210429 15:36:31']
['508', 'Davis', '5', '20210429 15:37:05']
['515', 'Diversey', '1', '20210429 15:37:23']
['518', 'Chicago', '5', '20210429 15:37:29']
['520', 'Wellington', '5', '20210429 15:37:36']
['508', 'Davis', '5', '20210429 15:37:41']
['519', 'Adams/Wabash', '5', '20210429 15:38:30']
['520', 'Diversey', '5', '20210429 15:38:28']
['506', 'Wilson', '5', '20210429 15:39:38']
['508', 'Dempster', '5', '20210429 15:39:09']
['515', 'Wellington', '1', '20210429 15:39:36']
['518', 'Merchandise Mart', '5', '20210429 15:39:37']
['506', 'Wilson', '5', '20210429 15:40:38']
['508', 'Main', '5', '20210429 15:40:34']
['513', 'Foster', '1', '20210429 15:40:38']
['519', 'Harold Washington Library-State/Van Buren', '5', '20210429 15:40:34']
['520', 'Fullerton', '5', '20210429 15:40:35']
['508', 'Main', '5', '20210429 15:40:46']
['513', 'Noyes', '1', '20210429 15:41:09']
['519', 'LaSalle/Van Buren', '5', '20210429 15:41:18']
['506', 'Sheridan', '5', '20210429 15:42:32']
['508', 'South Boulevard', '5', '20210429 15:42:38']
['518', 'State/Lake', '5', '20210429 15:42:34']
['519', 'Quincy', '5', '20210429 15:42:23']
['506', 'Sheridan', '5', '20210429 15:42:41']
['508', 'Howard', '5', '20210429 15:43:17']
['518', 'State/Lake', '5', '20210429 15:43:36']
['519', 'Quincy', '5', '20210429 15:43:35']
['513', 'Linden', '1', '20210429 15:44:11']
['519', 'Washington/Wells', '5', '20210429 15:44:39']
['513', 'Linden', '1', '20210429 15:45:34']
['518', 'Adams/Wabash', '5', '20210429 15:45:35']
['520', 'Sedgwick', '5', '20210429 15:45:11']
['506', 'Belmont', '5', '20210429 15:46:36']
['507', 'Davis', '5', '20210429 15:46:30']
['515', 'Wilson', '1', '20210429 15:46:37']
['519', 'Merchandise Mart', '1', '20210429 15:46:18']
['506', 'Wellington', '5', '20210429 15:47:13']
['507', 'Davis', '5', '20210429 15:47:11']
['518', 'Harold Washington Library-State/Van Buren', '5', '20210429 15:47:36']
['506', 'Diversey', '5', '20210429 15:48:39']
['507', 'Davis', '5', '20210429 15:47:46']
['518', 'LaSalle/Van Buren', '5', '20210429 15:48:15']
['519', 'Chicago', '1', '20210429 15:48:32']
['520', 'Chicago', '5', '20210429 15:48:36']
['506', 'Diversey', '5', '20210429 15:49:39']
['518', 'Quincy', '5', '20210429 15:49:24']
['514', 'Main', '1', '20210429 15:50:36']
['518', 'Quincy', '5', '20210429 15:50:37']
['520', 'Merchandise Mart', '5', '20210429 15:50:39']
['507', 'Main', '5', '20210429 15:50:55']
['514', 'Main', '1', '20210429 15:50:36']
['518', 'Washington/Wells', '5', '20210429 15:51:34']
['519', 'Sedgwick', '1', '20210429 15:51:36']
['520', 'Merchandise Mart', '5', '20210429 15:51:26']
['506', 'Armitage', '5', '20210429 15:52:39']
['507', 'South Boulevard', '5', '20210429 15:52:17']
['518', 'Merchandise Mart', '1', '20210429 15:52:31']
['519', 'Sedgwick', '1', '20210429 15:52:40']
['507', 'Howard', '5', '20210429 15:53:29']
['509', 'Central', '5', '20210429 15:53:16']
['518', 'Merchandise Mart', '1', '20210429 15:53:00']
['520', 'Clark/Lake', '5', '20210429 15:53:09']
['507', 'Howard', '5', '20210429 15:54:36']
['520', 'State/Lake', '5', '20210429 15:54:20']
['508', 'Wilson', '5', '20210429 15:55:40']
['509', 'Davis', '5', '20210429 15:55:29']
['518', 'Chicago', '1', '20210429 15:55:20']
['519', 'Armitage', '1', '20210429 15:55:19']
['506', 'Sedgwick', '5', '20210429 15:56:31']
['508', 'Wilson', '5', '20210429 15:56:38']
['509', 'Davis', '5', '20210429 15:56:34']
['514', 'Noyes', '1', '20210429 15:56:10']
['519', 'Armitage', '1', '20210429 15:56:29']
['520', 'Washington/Wabash', '5', '20210429 15:56:30']
['509', 'Davis', '5', '20210429 15:57:09']
['520', 'Adams/Wabash', '5', '20210429 15:57:34']
['508', 'Sheridan', '5', '20210429 15:58:26']
['509', 'Dempster', '5', '20210429 15:58:34']
['515', 'South Boulevard', '1', '20210429 15:58:40']
['518', 'Sedgwick', '1', '20210429 15:58:30']
['519', 'Fullerton', '1', '20210429 15:58:19']
['520', 'Harold Washington Library-State/Van Buren', '5', '20210429 15:58:39']
['506', 'Chicago', '5', '20210429 15:59:26']
['508', 'Sheridan', '5', '20210429 15:58:26']
['509', 'Dempster', '5', '20210429 15:58:34']
['514', 'Linden', '1', '20210429 15:59:36']
['515', 'Main', '1', '20210429 15:59:12']
['518', 'Sedgwick', '1', '20210429 15:59:26']
['520', 'LaSalle/Van Buren', '5', '20210429 15:59:28']
['509', 'Main', '5', '20210429 15:59:56']
['514', 'Linden', '1', '20210429 16:00:31']
['519', 'Diversey', '1', '20210429 16:00:20']
['520', 'Quincy', '5', '20210429 16:00:27']
['506', 'Merchandise Mart', '5', '20210429 16:01:30']
['509', 'South Boulevard', '5', '20210429 16:01:18']
['515', 'Dempster', '1', '20210429 16:01:32']
['520', 'Quincy', '5', '20210429 16:01:34']
['507', 'Wilson', '5', '20210429 16:02:31']
['508', 'Belmont', '5', '20210429 16:02:38']
['509', 'Howard', '5', '20210429 16:02:30']
['518', 'Armitage', '1', '20210429 16:02:33']
['519', 'Wellington', '1', '20210429 16:02:38']
['508', 'Wellington', '5', '20210429 16:03:35']
['520', 'Merchandise Mart', '1', '20210429 16:03:37']
['506', 'Clark/Lake', '5', '20210429 16:03:46']
['508', 'Diversey', '5', '20210429 16:04:26']
['515', 'Foster', '1', '20210429 16:04:18']
['518', 'Fullerton', '1', '20210429 16:04:31']
['506', 'Clark/Lake', '5', '20210429 16:03:46']
['507', 'Sheridan', '5', '20210429 16:05:06']
['515', 'Noyes', '1', '20210429 16:04:44']
['520', 'Chicago', '1', '20210429 16:05:35']
['506', 'State/Lake', '5', '20210429 16:06:18']
['507', 'Sheridan', '5', '20210429 16:06:29']
['508', 'Fullerton', '5', '20210429 16:06:37']
['515', 'Central', '1', '20210429 16:06:28']
['517', 'Central', '5', '20210429 16:05:47']
['518', 'Diversey', '1', '20210429 16:06:37']
['520', 'Chicago', '1', '20210429 16:06:36']
['508', 'Armitage', '5', '20210429 16:07:30']
['506', 'Adams/Wabash', '5', '20210429 16:08:39']
['507', 'Belmont', '5', '20210429 16:08:33']
['515', 'Linden', '1', '20210429 16:08:06']
['517', 'Davis', '5', '20210429 16:08:27']
['518', 'Wellington', '1', '20210429 16:08:15']
['520', 'Sedgwick', '1', '20210429 16:08:34']
['506', 'Adams/Wabash', '5', '20210429 16:09:37']
['507', 'Wellington', '5', '20210429 16:09:31']
['517', 'Davis', '5', '20210429 16:09:35']
['518', 'Belmont', '1', '20210429 16:09:03']
['520', 'Sedgwick', '1', '20210429 16:09:38']
['506', 'Harold Washington Library-State/Van Buren', '5', '20210429 16:10:37']
['507', 'Wellington', '5', '20210429 16:10:22']
['509', 'Wilson', '5', '20210429 16:10:36']
['517', 'Davis', '5', '20210429 16:10:23']
['506', 'LaSalle/Van Buren', '5', '20210429 16:11:31']
['507', 'Diversey', '5', '20210429 16:11:13']
['508', 'Sedgwick', '5', '20210429 16:11:39']
['517', 'Davis', '5', '20210429 16:10:23']
['506', 'Quincy', '5', '20210429 16:12:30']
['517', 'Dempster', '5', '20210429 16:12:01']
['520', 'Armitage', '1', '20210429 16:12:38']
['521', 'Central', '5', '20210429 16:12:28']
['506', 'Quincy', '5', '20210429 16:13:35']
['507', 'Fullerton', '5', '20210429 16:13:39']
['509', 'Sheridan', '5', '20210429 16:12:58']
['517', 'Main', '5', '20210429 16:13:28']
['520', 'Armitage', '1', '20210429 16:13:32']
['506', 'Washington/Wells', '5', '20210429 16:14:38']
['507', 'Armitage', '5', '20210429 16:14:33']
['508', 'Chicago', '5', '20210429 16:14:22']
['517', 'Main', '5', '20210429 16:13:41']
['520', 'Fullerton', '1', '20210429 16:14:35']
['506', 'Merchandise Mart', '1', '20210429 16:15:39']
['517', 'South Boulevard', '5', '20210429 16:15:34']
['521', 'Davis', '5', '20210429 16:15:28']
['506', 'Merchandise Mart', '1', '20210429 16:16:06']
['508', 'Merchandise Mart', '5', '20210429 16:16:17']
['509', 'Belmont', '5', '20210429 16:16:16']
['517', 'Howard', '5', '20210429 16:16:20']
['518', 'Wilson', '1', '20210429 16:16:18']
['520', 'Diversey', '1', '20210429 16:16:34']
['521', 'Davis', '5', '20210429 16:16:22']
['509', 'Wellington', '5', '20210429 16:17:09']
['513', 'Central', '5', '20210429 16:17:22']
['517', 'Howard', '5', '20210429 16:17:32']
['520', 'Diversey', '1', '20210429 16:17:21']
['521', 'Davis', '5', '20210429 16:17:35']
['506', 'Chicago', '1', '20210429 16:18:27']
['507', 'Sedgwick', '5', '20210429 16:18:34']
['508', 'Clark/Lake', '5', '20210429 16:18:29']
['509', 'Diversey', '5', '20210429 16:18:28']
['520', 'Wellington', '1', '20210429 16:18:34']
['521', 'Dempster', '5', '20210429 16:18:02']
['508', 'State/Lake', '5', '20210429 16:19:30']
['513', 'Davis', '5', '20210429 16:19:36']
['520', 'Belmont', '1', '20210429 16:19:28']
['521', 'Main', '5', '20210429 16:19:24']
['507', 'Chicago', '5', '20210429 16:20:55']
['509', 'Fullerton', '5', '20210429 16:20:52']
['513', 'Davis', '5', '20210429 16:20:41']
['521', 'South Boulevard', '5', '20210429 16:20:42']
['506', 'Sedgwick', '1', '20210429 16:21:35']
['507', 'Chicago', '5', '20210429 16:21:34']
['513', 'Davis', '5', '20210429 16:21:21']
['521', 'South Boulevard', '5', '20210429 16:21:13']
['506', 'Sedgwick', '1', '20210429 16:22:31']
['508', 'Adams/Wabash', '5', '20210429 16:22:14']
['513', 'Davis', '5', '20210429 16:22:17']
['519', 'Main', '1', '20210429 16:22:28']
['521', 'Howard', '5', '20210429 16:21:50']
['507', 'Merchandise Mart', '5', '20210429 16:23:33']
['508', 'Harold Washington Library-State/Van Buren', '5', '20210429 16:23:35']
['513', 'Dempster', '5', '20210429 16:22:40']
['519', 'Main', '1', '20210429 16:23:33']
['508', 'LaSalle/Van Buren', '5', '20210429 16:24:31']
['513', 'Main', '5', '20210429 16:24:12']
['517', 'Wilson', '5', '20210429 16:24:34']
['506', 'Armitage', '1', '20210429 16:25:39']
['508', 'LaSalle/Van Buren', '5', '20210429 16:25:31']
['509', 'Sedgwick', '5', '20210429 16:25:36']
['513', 'South Boulevard', '5', '20210429 16:25:29']
['517', 'Wilson', '5', '20210429 16:25:34']
['507', 'State/Lake', '5', '20210429 16:26:34']
['508', 'Quincy', '5', '20210429 16:26:32']
['513', 'Howard', '5', '20210429 16:26:33']
['520', 'Wilson', '1', '20210429 16:26:36']
['506', 'Fullerton', '1', '20210429 16:27:39']
['507', 'State/Lake', '5', '20210429 16:27:35']
['508', 'Washington/Wells', '5', '20210429 16:27:33']
['509', 'Chicago', '5', '20210429 16:27:36']
['513', 'Howard', '5', '20210429 16:27:39']
['517', 'Sheridan', '5', '20210429 16:27:35']
['509', 'Chicago', '5', '20210429 16:28:39']
['512', 'Central', '5', '20210429 16:28:35']
['517', 'Sheridan', '5', '20210429 16:27:35']
['519', 'Noyes', '1', '20210429 16:28:21']
['506', 'Diversey', '1', '20210429 16:29:27']
['507', 'Adams/Wabash', '5', '20210429 16:29:22']
['508', 'Merchandise Mart', '1', '20210429 16:29:35']
['518', 'Main', '1', '20210429 16:29:39']
['509', 'Merchandise Mart', '5', '20210429 16:30:38']
['518', 'Main', '1', '20210429 16:29:44']
['519', 'Linden', '1', '20210429 16:30:31']
['506', 'Wellington', '1', '20210429 16:31:28']
['507', 'LaSalle/Van Buren', '5', '20210429 16:31:37']
['508', 'Chicago', '1', '20210429 16:31:17']
['512', 'Davis', '5', '20210429 16:31:19']
['517', 'Belmont', '5', '20210429 16:31:35']
['519', 'Linden', '1', '20210429 16:30:31']
['521', 'Wilson', '5', '20210429 16:31:32']
['506', 'Belmont', '1', '20210429 16:32:14']
['507', 'LaSalle/Van Buren', '5', '20210429 16:31:59']
['509', 'Clark/Lake', '5', '20210429 16:32:37']
['512', 'Davis', '5', '20210429 16:32:38']
['517', 'Wellington', '5', '20210429 16:32:11']
['519', 'Linden', '1', '20210429 16:31:43']
['507', 'Quincy', '5', '20210429 16:33:32']
['509', 'State/Lake', '5', '20210429 16:33:31']
['512', 'Davis', '5', '20210429 16:32:38']
['517', 'Diversey', '5', '20210429 16:33:28']
['518', 'Davis', '1', '20210429 16:33:30']
['507', 'Washington/Wells', '5', '20210429 16:34:19']
['508', 'Sedgwick', '1', '20210429 16:34:27']
['512', 'Dempster', '5', '20210429 16:34:11']
['513', 'Wilson', '5', '20210429 16:34:36']
['517', 'Diversey', '5', '20210429 16:34:36']
['508', 'Sedgwick', '1', '20210429 16:35:30']
['512', 'Main', '5', '20210429 16:35:37']
['513', 'Wilson', '5', '20210429 16:35:36']
['518', 'Noyes', '1', '20210429 16:35:15']
['521', 'Sheridan', '5', '20210429 16:35:32']
['507', 'Merchandise Mart', '1', '20210429 16:36:09']
['509', 'Adams/Wabash', '5', '20210429 16:36:28']
['512', 'Main', '5', '20210429 16:35:49']
['507', 'Merchandise Mart', '1', '20210429 16:37:40']
['509', 'Adams/Wabash', '5', '20210429 16:37:31']
['512', 'South Boulevard', '5', '20210429 16:37:10']
['514', 'Central', '5', '20210429 16:37:23']
['517', 'Armitage', '5', '20210429 16:37:29']
['521', 'Belmont', '5', '20210429 16:37:29']
['508', 'Armitage', '1', '20210429 16:38:35']
['512', 'South Boulevard', '5', '20210429 16:37:40']
['521', 'Wellington', '5', '20210429 16:38:23']
['509', 'Harold Washington Library-State/Van Buren', '5', '20210429 16:39:35']
['512', 'Howard', '5', '20210429 16:38:44']
['518', 'Linden', '1', '20210429 16:38:49']
['521', 'Diversey', '5', '20210429 16:39:31']
['507', 'Chicago', '1', '20210429 16:40:27']
['508', 'Fullerton', '1', '20210429 16:40:27']
['509', 'LaSalle/Van Buren', '5', '20210429 16:40:14']
['514', 'Davis', '5', '20210429 16:40:20']
['520', 'South Boulevard', '1', '20210429 16:40:33']
['521', 'Diversey', '5', '20210429 16:40:29']
['509', 'Quincy', '5', '20210429 16:41:36']
['513', 'Belmont', '5', '20210429 16:41:05']
['514', 'Davis', '5', '20210429 16:41:39']
['517', 'Sedgwick', '5', '20210429 16:41:39']
['520', 'Main', '1', '20210429 16:41:06']
['508', 'Diversey', '1', '20210429 16:42:28']
['509', 'Washington/Wells', '5', '20210429 16:42:29']
['513', 'Belmont', '5', '20210429 16:42:34']
['514', 'Davis', '5', '20210429 16:41:39']
['507', 'Sedgwick', '1', '20210429 16:43:31']
['509', 'Washington/Wells', '5', '20210429 16:43:33']
['513', 'Wellington', '5', '20210429 16:43:03']
['514', 'Dempster', '5', '20210429 16:43:05']
['520', 'Dempster', '1', '20210429 16:43:34']
['521', 'Armitage', '5', '20210429 16:43:37']
['508', 'Wellington', '1', '20210429 16:44:27']
['509', 'Merchandise Mart', '1', '20210429 16:44:32']
['513', 'Diversey', '5', '20210429 16:44:32']
['514', 'Main', '5', '20210429 16:44:35']
['517', 'Chicago', '5', '20210429 16:44:37']
['509', 'Merchandise Mart', '1', '20210429 16:44:41']
['513', 'Diversey', '5', '20210429 16:45:26']
['514', 'Main', '5', '20210429 16:44:35']
['515', 'Central', '5', '20210429 16:45:01']
['509', 'Merchandise Mart', '1', '20210429 16:46:07']
['512', 'Wilson', '5', '20210429 16:46:38']
['513', 'Fullerton', '5', '20210429 16:46:33']
['514', 'South Boulevard', '5', '20210429 16:46:32']
