['513', 'Quincy', '5', '20210507 15:01:31']
['515', 'Diversey', '5', '20210507 15:01:24']
['518', 'Davis', '5', '20210507 15:01:09']
['508', 'Main', '1', '20210507 15:02:37']
['513', 'Washington/Wells', '5', '20210507 15:02:36']
['515', 'Fullerton', '5', '20210507 15:02:37']
['518', 'Dempster', '5', '20210507 15:02:36']
['508', 'Main', '1', '20210507 15:03:34']
['513', 'Merchandise Mart', '1', '20210507 15:03:39']
['514', 'Chicago', '5', '20210507 15:03:37']
['515', 'Fullerton', '5', '20210507 15:03:37']
['518', 'Dempster', '5', '20210507 15:02:36']
['508', 'Dempster', '1', '20210507 15:04:02']
['513', 'Merchandise Mart', '1', '20210507 15:04:16']
['514', 'Chicago', '5', '20210507 15:04:28']
['515', 'Armitage', '5', '20210507 15:04:34']
['518', 'Main', '5', '20210507 15:04:10']
['519', 'Wilson', '5', '20210507 15:04:38']
['518', 'South Boulevard', '5', '20210507 15:05:27']
['513', 'Chicago', '1', '20210507 15:06:18']
['514', 'Merchandise Mart', '5', '20210507 15:06:30']
['518', 'Howard', '5', '20210507 15:06:37']
['518', 'Howard', '5', '20210507 15:06:37']
['508', 'Noyes', '1', '20210507 15:08:04']
['514', 'State/Lake', '5', '20210507 15:08:39']
['515', 'Sedgwick', '5', '20210507 15:08:38']
['520', 'Central', '5', '20210507 15:08:39']
['513', 'Sedgwick', '1', '20210507 15:09:36']
['514', 'State/Lake', '5', '20210507 15:09:38']
['519', 'Sheridan', '5', '20210507 15:09:04']
['520', 'Central', '5', '20210507 15:09:28']
['513', 'Sedgwick', '1', '20210507 15:10:30']
['514', 'Washington/Wabash', '5', '20210507 15:10:35']
['519', 'Sheridan', '5', '20210507 15:10:33']
['508', 'Linden', '1', '20210507 15:11:26']
['514', 'Adams/Wabash', '5', '20210507 15:11:35']
['515', 'Chicago', '5', '20210507 15:11:30']
['508', 'Linden', '1', '20210507 15:12:31']
['520', 'Davis', '5', '20210507 15:12:36']
['507', 'Main', '1', '20210507 15:13:26']
['513', 'Armitage', '1', '20210507 15:13:26']
['514', 'Harold Washington Library-State/Van Buren', '5', '20210507 15:13:31']
['515', 'Merchandise Mart', '5', '20210507 15:13:34']
['520', 'Davis', '5', '20210507 15:13:30']
['507', 'Main', '1', '20210507 15:14:30']
['514', 'LaSalle/Van Buren', '5', '20210507 15:14:38']
['518', 'Wilson', '5', '20210507 15:14:30']
['519', 'Belmont', '5', '20210507 15:14:38']
['520', 'Davis', '5', '20210507 15:13:30']
['507', 'Dempster', '1', '20210507 15:14:57']
['513', 'Fullerton', '1', '20210507 15:15:28']
['514', 'Quincy', '5', '20210507 15:15:25']
['518', 'Wilson', '5', '20210507 15:15:32']
['519', 'Wellington', '5', '20210507 15:15:07']
['520', 'Dempster', '5', '20210507 15:15:03']
['514', 'Washington/Wells', '5', '20210507 15:16:16']
['515', 'State/Lake', '5', '20210507 15:16:33']
['519', 'Diversey', '5', '20210507 15:16:30']
['520', 'Main', '5', '20210507 15:16:37']
['513', 'Diversey', '1', '20210507 15:17:39']
['515', 'State/Lake', '5', '20210507 15:17:32']
['518', 'Sheridan', '5', '20210507 15:17:27']
['519', 'Diversey', '5', '20210507 15:16:59']
['520', 'Main', '5', '20210507 15:16:37']
['513', 'Wellington', '1', '20210507 15:18:24']
['514', 'Merchandise Mart', '1', '20210507 15:18:09']
['515', 'Washington/Wabash', '5', '20210507 15:18:29']
['518', 'Sheridan', '5', '20210507 15:17:27']
['519', 'Fullerton', '5', '20210507 15:18:19']
['520', 'South Boulevard', '5', '20210507 15:18:32']
['507', 'Noyes', '1', '20210507 15:19:17']
['513', 'Wellington', '1', '20210507 15:19:38']
['515', 'Adams/Wabash', '5', '20210507 15:19:15']
['520', 'Howard', '5', '20210507 15:19:15']
['513', 'Belmont', '1', '20210507 15:20:36']
['514', 'Chicago', '1', '20210507 15:20:15']
['515', 'Harold Washington Library-State/Van Buren', '5', '20210507 15:20:38']
['519', 'Armitage', '5', '20210507 15:20:37']
['515', 'LaSalle/Van Buren', '5', '20210507 15:21:36']
['518', 'Belmont', '5', '20210507 15:21:38']
['515', 'Quincy', '5', '20210507 15:22:32']
['518', 'Wellington', '5', '20210507 15:22:03']
['522', 'Central', '5', '20210507 15:22:10']
['507', 'Linden', '1', '20210507 15:22:51']
['509', 'South Boulevard', '1', '20210507 15:23:31']
['514', 'Sedgwick', '1', '20210507 15:23:37']
['515', 'Quincy', '5', '20210507 15:23:38']
['518', 'Wellington', '5', '20210507 15:23:20']
['522', 'Central', '5', '20210507 15:22:58']
['509', 'Main', '1', '20210507 15:24:39']
['518', 'Diversey', '5', '20210507 15:24:15']
['519', 'Sedgwick', '5', '20210507 15:24:35']
['509', 'Dempster', '1', '20210507 15:25:04']
['515', 'Merchandise Mart', '1', '20210507 15:25:27']
['518', 'Fullerton', '5', '20210507 15:25:26']
['522', 'Davis', '5', '20210507 15:25:19']
['514', 'Armitage', '1', '20210507 15:26:39']
['522', 'Davis', '5', '20210507 15:26:33']
['514', 'Armitage', '1', '20210507 15:27:37']
['515', 'Chicago', '1', '20210507 15:27:38']
