['514', 'Dempster', '1', '1', '20210511 14:00:29']
['517', 'Howard', '1', '5', '20210511 14:00:39']
['518', 'Central', '1', '5', '20210511 13:59:57']
['514', 'Dempster', '1', '1', '20210511 14:01:27']
['518', 'Davis', '0', '5', '20210511 14:01:49']
['514', 'Davis', '0', '1', '20210511 14:02:49']
['518', 'Davis', '0', '5', '20210511 14:01:49']
['514', 'Foster', '0', '1', '20210511 14:03:56']
['518', 'Davis', '1', '5', '20210511 14:03:31']
['514', 'Noyes', '1', '1', '20210511 14:04:32']
['518', 'Davis', '1', '5', '20210511 14:04:32']
['514', 'Central', '0', '1', '20210511 14:06:27']
['518', 'Davis', '1', '5', '20210511 14:05:35']
['514', 'Central', '1', '1', '20210511 14:06:38']
['518', 'Dempster', '0', '5', '20210511 14:07:02']
['514', 'Linden', '0', '1', '20210511 14:07:44']
['518', 'Dempster', '1', '5', '20210511 14:07:35']
['514', 'Linden', '1', '1', '20210511 14:08:02']
['518', 'Main', '1', '5', '20210511 14:07:48']
['518', 'South Boulevard', '1', '5', '20210511 14:09:13']
['513', 'Central', '1', '5', '20210511 14:10:30']
['518', 'Howard', '1', '5', '20210511 14:10:28']
['513', 'Central', '1', '5', '20210511 14:11:20']
['518', 'Howard', '1', '5', '20210511 14:11:34']
['513', 'Davis', '0', '5', '20210511 14:13:16']
['513', 'Davis', '0', '5', '20210511 14:13:16']
['513', 'Davis', '1', '5', '20210511 14:14:35']
['513', 'Davis', '1', '5', '20210511 14:15:29']
['513', 'Davis', '1', '5', '20210511 14:16:36']
['513', 'Dempster', '0', '5', '20210511 14:18:00']
['513', 'Main', '1', '5', '20210511 14:18:29']
['513', 'Main', '1', '5', '20210511 14:19:39']
['513', 'South Boulevard', '1', '5', '20210511 14:20:23']
['513', 'Howard', '1', '5', '20210511 14:21:14']
['514', 'Central', '1', '5', '20210511 14:21:19']
['513', 'Wilson', '0', '5', '20210511 14:31:26']
['514', 'Central', '1', '5', '20210511 14:22:08']
['513', 'Wilson', '0', '5', '20210511 14:31:04']
['514', 'Davis', '0', '5', '20210511 14:23:57']
['513', 'Wilson', '0', '5', '20210511 14:31:04']
['514', 'Davis', '1', '5', '20210511 14:24:27']
['513', 'Wilson', '0', '5', '20210511 14:31:04']
['514', 'Davis', '1', '5', '20210511 14:25:16']
['513', 'Wilson', '0', '5', '20210511 14:32:07']
['514', 'Davis', '1', '5', '20210511 14:26:19']
['513', 'Wilson', '0', '5', '20210511 14:31:22']
['514', 'Davis', '1', '5', '20210511 14:27:21']
['518', 'Main', '1', '1', '20210511 14:27:17']
['513', 'Wilson', '0', '5', '20210511 14:29:28']
['514', 'Dempster', '0', '5', '20210511 14:28:43']
['518', 'Main', '1', '1', '20210511 14:28:17']
['513', 'Wilson', '0', '5', '20210511 14:30:38']
['514', 'Main', '1', '5', '20210511 14:29:16']
['518', 'Dempster', '1', '1', '20210511 14:29:38']
['513', 'Wilson', '1', '5', '20210511 14:30:33']
['514', 'South Boulevard', '1', '5', '20210511 14:30:35']
['518', 'Davis', '0', '1', '20210511 14:31:01']
['513', 'Sheridan', '0', '5', '20210511 14:33:31']
['514', 'South Boulevard', '1', '5', '20210511 14:31:05']
['515', 'Central', '1', '5', '20210511 14:31:39']
['518', 'Foster', '0', '1', '20210511 14:32:09']
['513', 'Sheridan', '0', '5', '20210511 14:33:37']
['514', 'Howard', '1', '5', '20210511 14:31:51']
['515', 'Central', '1', '5', '20210511 14:32:28']
['518', 'Foster', '1', '1', '20210511 14:32:21']
['513', 'Sheridan', '0', '5', '20210511 14:33:37']
['514', 'Wilson', '0', '5', '20210511 14:42:33']
['515', 'Davis', '0', '5', '20210511 14:34:23']
['518', 'Noyes', '1', '1', '20210511 14:32:41']
['513', 'Sheridan', '1', '5', '20210511 14:34:36']
['514', 'Wilson', '0', '5', '20210511 14:42:33']
['515', 'Davis', '0', '5', '20210511 14:34:23']
['518', 'Central', '1', '1', '20210511 14:34:39']
['513', 'Sheridan', '1', '5', '20210511 14:34:36']
['514', 'Wilson', '0', '5', '20210511 14:42:33']
['515', 'Davis', '1', '5', '20210511 14:35:31']
['518', 'Linden', '0', '1', '20210511 14:36:00']
