'504', 'Linden', '1', '20210423 15:17:03'
'512', 'LaSalle/Van Buren', '5', '20210423 15:17:20'
'515', 'Davis', '5', '20210423 15:16:27'
'518', 'Wilson', '5', '20210423 15:17:36'
'507', 'Main', '1', '20210423 15:18:16'
'512', 'Quincy', '5', '20210423 15:18:23'
'514', 'Sedgwick', '5', '20210423 15:18:29'
'515', 'Davis', '5', '20210423 15:17:54'
'518', 'Wilson', '5', '20210423 15:18:36'
'507', 'Main', '1', '20210423 15:19:18'
'512', 'Washington/Wells', '5', '20210423 15:19:38'
'515', 'Dempster', '5', '20210423 15:19:01'
'507', 'Dempster', '1', '20210423 15:19:46'
'512', 'Washington/Wells', '5', '20210423 15:20:27'
'514', 'Chicago', '5', '20210423 15:20:37'
'515', 'Main', '5', '20210423 15:20:37'
'512', 'Merchandise Mart', '1', '20210423 15:21:35'
'514', 'Chicago', '5', '20210423 15:21:36'
'515', 'Main', '5', '20210423 15:21:34'
'512', 'Merchandise Mart', '1', '20210423 15:22:34'
'515', 'South Boulevard', '5', '20210423 15:22:26'
'507', 'Foster', '1', '20210423 15:23:29'
'514', 'Merchandise Mart', '5', '20210423 15:23:11'
'515', 'Howard', '5', '20210423 15:23:09'
'507', 'Noyes', '1', '20210423 15:23:49'
'512', 'Chicago', '1', '20210423 15:24:28'
'518', 'Belmont', '5', '20210423 15:24:39'
'514', 'Clark/Lake', '5', '20210423 15:25:38'
'518', 'Wellington', '5', '20210423 15:24:58'
'507', 'Linden', '1', '20210423 15:26:15'
'514', 'State/Lake', '5', '20210423 15:26:11'
'518', 'Diversey', '5', '20210423 15:26:33'
'506', 'Central', '5', '20210423 15:27:27'
'507', 'Linden', '1', '20210423 15:27:36'
'512', 'Sedgwick', '1', '20210423 15:27:34'
'507', 'Linden', '1', '20210423 15:28:28'
'512', 'Sedgwick', '1', '20210423 15:28:39'
'514', 'Adams/Wabash', '5', '20210423 15:28:37'
'518', 'Fullerton', '5', '20210423 15:28:39'
