['502', 'Merchandise Mart', '1', '5', '20210514 05:45:35']
['503', 'Wellington', '0', '5', '20210514 05:45:59']
['507', 'Davis', '0', '1', '20210514 05:46:22']
['501', 'Main', '1', '5', '20210514 05:46:29']
['502', 'Merchandise Mart', '1', '5', '20210514 05:46:20']
['503', 'Belmont', '1', '5', '20210514 05:46:39']
['507', 'Foster', '0', '1', '20210514 05:47:35']
['501', 'Main', '1', '5', '20210514 05:47:30']
['502', 'Clark/Lake', '0', '5', '20210514 05:47:46']
['503', 'Wellington', '1', '5', '20210514 05:47:28']
['507', 'Foster', '0', '1', '20210514 05:47:35']
['501', 'South Boulevard', '1', '5', '20210514 05:48:19']
['502', 'State/Lake', '1', '5', '20210514 05:48:32']
['503', 'Diversey', '1', '5', '20210514 05:48:37']
['507', 'Noyes', '1', '1', '20210514 05:48:22']
['501', 'Howard', '1', '5', '20210514 05:49:04']
['502', 'State/Lake', '1', '5', '20210514 05:49:37']
['503', 'Diversey', '1', '5', '20210514 05:49:07']
['506', 'Central', '1', '5', '20210514 05:49:39']
['501', 'Wilson', '0', '5', '20210514 05:58:22']
['502', 'Washington/Wabash', '1', '5', '20210514 05:50:33']
['503', 'Fullerton', '1', '5', '20210514 05:50:23']
['504', 'Noyes', '0', '5', '20210514 05:51:08']
['506', 'Central', '0', '1', '20210514 05:51:02']
['501', 'Wilson', '0', '5', '20210514 05:58:51']
['502', 'Adams/Wabash', '1', '5', '20210514 05:51:29']
['503', 'Fullerton', '1', '5', '20210514 05:51:34']
['504', 'Noyes', '0', '5', '20210514 05:51:08']
['506', 'Linden', '0', '1', '20210514 05:52:13']
['501', 'Wilson', '0', '5', '20210514 05:58:51']
['502', 'LaSalle/Van Buren', '0', '5', '20210514 05:53:20']
['503', 'Armitage', '1', '5', '20210514 05:52:31']
['504', 'Noyes', '0', '5', '20210514 05:51:08']
['506', 'Linden', '0', '1', '20210514 05:52:13']
['501', 'Wilson', '0', '5', '20210514 05:58:51']
['502', 'LaSalle/Van Buren', '1', '5', '20210514 05:53:39']
['503', 'Sedgwick', '0', '5', '20210514 05:55:20']
['504', 'Davis', '1', '5', '20210514 05:53:36']
['506', 'Linden', '1', '1', '20210514 05:53:37']
['507', 'South Boulevard', '1', '1', '20210514 05:53:35']
['501', 'Wilson', '0', '5', '20210514 05:59:37']
['502', 'LaSalle/Van Buren', '1', '5', '20210514 05:54:01']
['503', 'Sedgwick', '0', '5', '20210514 05:55:34']
['504', 'Davis', '1', '5', '20210514 05:54:25']
['507', 'Main', '0', '1', '20210514 05:55:10']
['501', 'Wilson', '0', '5', '20210514 05:59:36']
['502', 'Quincy', '1', '5', '20210514 05:55:08']
['503', 'Sedgwick', '0', '5', '20210514 05:56:22']
['504', 'Davis', '1', '5', '20210514 05:55:30']
['507', 'Dempster', '1', '1', '20210514 05:55:38']
['501', 'Wilson', '0', '5', '20210514 05:57:39']
['502', 'Washington/Wells', '1', '5', '20210514 05:56:29']
['503', 'Sedgwick', '1', '5', '20210514 05:56:38']
['504', 'Main', '0', '5', '20210514 05:56:48']
['507', 'Dempster', '1', '1', '20210514 05:56:39']
['501', 'Wilson', '1', '5', '20210514 05:57:30']
['502', 'Merchandise Mart', '0', '1', '20210514 05:58:31']
['503', 'Chicago', '0', '5', '20210514 05:59:22']
['504', 'Main', '1', '5', '20210514 05:57:17']
['507', 'Davis', '0', '1', '20210514 05:57:59']
['501', 'Wilson', '1', '5', '20210514 05:58:31']
['502', 'Merchandise Mart', '1', '1', '20210514 05:58:21']
['503', 'Chicago', '0', '5', '20210514 05:59:39']
['504', 'South Boulevard', '1', '5', '20210514 05:58:37']
['507', 'Foster', '0', '1', '20210514 05:59:16']
['501', 'Sheridan', '0', '5', '20210514 06:00:46']
['502', 'Merchandise Mart', '1', '1', '20210514 05:58:58']
['503', 'Chicago', '1', '5', '20210514 05:59:37']
['504', 'South Boulevard', '1', '5', '20210514 05:59:08']
['507', 'Foster', '1', '1', '20210514 05:59:33']
['501', 'Sheridan', '0', '5', '20210514 06:01:30']
['502', 'Chicago', '0', '1', '20210514 06:00:59']
['503', 'Merchandise Mart', '0', '5', '20210514 06:01:35']
['504', 'Howard', '1', '5', '20210514 05:59:47']
['507', 'Noyes', '1', '1', '20210514 05:59:54']
['501', 'Sheridan', '1', '5', '20210514 06:01:37']
['502', 'Chicago', '1', '1', '20210514 06:01:16']
['503', 'Merchandise Mart', '1', '5', '20210514 06:01:38']
['504', 'Wilson', '0', '5', '20210514 06:09:29']
['507', 'Central', '0', '1', '20210514 06:01:55']
['501', 'Belmont', '0', '5', '20210514 06:04:20']
['502', 'Sedgwick', '0', '1', '20210514 06:04:01']
['503', 'Merchandise Mart', '1', '5', '20210514 06:02:15']
['504', 'Wilson', '0', '5', '20210514 06:09:29']
['507', 'Linden', '0', '1', '20210514 06:03:15']
['501', 'Belmont', '0', '5', '20210514 06:04:29']
['502', 'Sedgwick', '0', '1', '20210514 06:04:33']
['503', 'Clark/Lake', '0', '5', '20210514 06:03:40']
['504', 'Wilson', '0', '5', '20210514 06:09:29']
