['503', 'State/Lake', '5', '20210511 06:08:24']
['504', 'Wilson', '5', '20210511 06:08:36']
['506', 'Central', '5', '20210511 06:06:19']
['509', 'Dempster', '1', '20210511 06:08:27']
['502', 'Sedgwick', '1', '20210511 06:09:38']
['504', 'Wilson', '5', '20210511 06:09:33']
['506', 'Central', '5', '20210511 06:06:19']
['509', 'Dempster', '1', '20210511 06:09:20']
['503', 'Adams/Wabash', '5', '20210511 06:10:39']
['503', 'Adams/Wabash', '5', '20210511 06:11:35']
['504', 'Sheridan', '5', '20210511 06:11:27']
['501', 'Sedgwick', '5', '20210511 06:12:37']
['503', 'Harold Washington Library-State/Van Buren', '5', '20210511 06:12:36']
['504', 'Sheridan', '5', '20210511 06:12:31']
['506', 'Davis', '5', '20210511 06:12:26']
['509', 'Noyes', '1', '20210511 06:12:19']
['502', 'Armitage', '1', '20210511 06:13:36']
['503', 'LaSalle/Van Buren', '5', '20210511 06:13:35']
['506', 'Davis', '5', '20210511 06:13:08']
['503', 'Quincy', '5', '20210511 06:14:33']
['504', 'Belmont', '5', '20210511 06:14:35']
['506', 'Davis', '5', '20210511 06:13:52']
['501', 'Chicago', '5', '20210511 06:15:38']
['502', 'Fullerton', '1', '20210511 06:15:20']
['503', 'Quincy', '5', '20210511 06:15:34']
['504', 'Wellington', '5', '20210511 06:15:35']
['506', 'Dempster', '5', '20210511 06:15:21']
['509', 'Linden', '1', '20210511 06:15:40']
['502', 'Diversey', '1', '20210511 06:16:37']
['503', 'Washington/Wells', '5', '20210511 06:16:40']
['504', 'Wellington', '5', '20210511 06:16:17']
['506', 'Dempster', '5', '20210511 06:15:21']
['509', 'Linden', '1', '20210511 06:16:29']
['501', 'Merchandise Mart', '5', '20210511 06:17:38']
['502', 'Diversey', '1', '20210511 06:17:33']
['504', 'Diversey', '5', '20210511 06:17:25']
['506', 'Main', '5', '20210511 06:16:56']
['510', 'Main', '1', '20210511 06:17:22']
['501', 'Merchandise Mart', '5', '20210511 06:18:22']
['502', 'Wellington', '1', '20210511 06:17:55']
['503', 'Merchandise Mart', '1', '20210511 06:18:00']
['506', 'South Boulevard', '5', '20210511 06:18:22']
['510', 'Main', '1', '20210511 06:18:27']
['502', 'Belmont', '1', '20210511 06:19:32']
['503', 'Merchandise Mart', '1', '20210511 06:19:39']
['504', 'Fullerton', '5', '20210511 06:19:33']
['506', 'Howard', '5', '20210511 06:19:36']
['508', 'Central', '5', '20210511 06:18:53']
['510', 'Dempster', '1', '20210511 06:18:49']
['501', 'Clark/Lake', '5', '20210511 06:20:01']
['504', 'Armitage', '5', '20210511 06:20:35']
['506', 'Howard', '5', '20210511 06:19:36']
['501', 'Clark/Lake', '5', '20210511 06:20:01']
['503', 'Chicago', '1', '20210511 06:21:35']
['504', 'Armitage', '5', '20210511 06:21:03']
['501', 'State/Lake', '5', '20210511 06:22:23']
['503', 'Chicago', '1', '20210511 06:22:33']
['508', 'Davis', '5', '20210511 06:22:19']
['510', 'Noyes', '1', '20210511 06:22:39']
['508', 'Davis', '5', '20210511 06:23:34']
['510', 'Noyes', '1', '20210511 06:22:39']
['501', 'Washington/Wabash', '5', '20210511 06:24:30']
['508', 'Davis', '5', '20210511 06:24:36']
['510', 'Central', '1', '20210511 06:24:36']
['501', 'Adams/Wabash', '5', '20210511 06:25:16']
['503', 'Sedgwick', '1', '20210511 06:25:25']
['504', 'Sedgwick', '5', '20210511 06:25:40']
['508', 'Dempster', '5', '20210511 06:24:55']
['503', 'Sedgwick', '1', '20210511 06:26:24']
['508', 'Main', '5', '20210511 06:26:22']
['510', 'Linden', '1', '20210511 06:26:17']
['501', 'LaSalle/Van Buren', '5', '20210511 06:27:33']
['508', 'Main', '5', '20210511 06:27:23']
['510', 'Linden', '1', '20210511 06:27:33']
['501', 'LaSalle/Van Buren', '5', '20210511 06:28:36']
['504', 'Chicago', '5', '20210511 06:28:39']
['506', 'Wilson', '5', '20210511 06:28:38']
['508', 'South Boulevard', '5', '20210511 06:28:13']
['501', 'Quincy', '5', '20210511 06:29:18']
['503', 'Armitage', '1', '20210511 06:29:22']
['508', 'Howard', '5', '20210511 06:28:49']
['501', 'Washington/Wells', '5', '20210511 06:30:28']
['503', 'Armitage', '1', '20210511 06:30:34']
['504', 'Merchandise Mart', '5', '20210511 06:30:36']
['506', 'Sheridan', '5', '20210511 06:30:32']
['504', 'Merchandise Mart', '5', '20210511 06:31:09']
['506', 'Sheridan', '5', '20210511 06:30:40']
['501', 'Merchandise Mart', '1', '20210511 06:32:24']
['501', 'Merchandise Mart', '1', '20210511 06:33:22']
['503', 'Diversey', '1', '20210511 06:33:39']
['504', 'Clark/Lake', '5', '20210511 06:32:52']
['503', 'Diversey', '1', '20210511 06:34:28']
['504', 'Clark/Lake', '5', '20210511 06:34:36']
['506', 'Belmont', '5', '20210511 06:34:35']
['509', 'Central', '5', '20210511 06:34:31']
['501', 'Chicago', '1', '20210511 06:35:34']
['503', 'Wellington', '1', '20210511 06:34:51']
['504', 'State/Lake', '5', '20210511 06:35:14']
['506', 'Wellington', '5', '20210511 06:35:37']
['509', 'Central', '5', '20210511 06:35:15']
['503', 'Belmont', '1', '20210511 06:36:26']
['506', 'Diversey', '5', '20210511 06:36:33']
['508', 'Wilson', '5', '20210511 06:36:38']
['504', 'Adams/Wabash', '5', '20210511 06:37:35']
['508', 'Wilson', '5', '20210511 06:37:38']
['509', 'Davis', '5', '20210511 06:37:25']
