['501', 'Howard', '5', '20210503 05:00:23']
['501', 'Howard', '5', '20210503 05:01:38']
['503', 'Noyes', '1', '20210503 05:04:06']
['502', 'Central', '5', '20210503 05:06:40']
['502', 'Central', '5', '20210503 05:07:23']
['503', 'Linden', '1', '20210503 05:07:29']
['502', 'Noyes', '5', '20210503 05:08:21']
['503', 'Linden', '1', '20210503 05:08:28']
['502', 'Davis', '5', '20210503 05:09:38']
['502', 'Davis', '5', '20210503 05:10:26']
['502', 'Davis', '5', '20210503 05:11:33']
['502', 'Davis', '5', '20210503 05:11:33']
['502', 'Dempster', '5', '20210503 05:13:04']
['502', 'Main', '5', '20210503 05:14:26']
['502', 'Main', '5', '20210503 05:14:40']
['1000', 'South Boulevard', '1', '20210503 05:16:19']
['502', 'South Boulevard', '5', '20210503 05:16:32']
['501', 'Main', '1', '20210503 05:17:19']
['502', 'Howard', '5', '20210503 05:17:13']
['501', 'Dempster', '1', '20210503 05:19:30']
['503', 'Central', '5', '20210503 05:21:23']
['501', 'Noyes', '1', '20210503 05:22:39']
['503', 'Central', '5', '20210503 05:22:18']
['501', 'Noyes', '1', '20210503 05:22:39']
['503', 'Noyes', '5', '20210503 05:23:06']
['503', 'Davis', '5', '20210503 05:24:34']
['503', 'Davis', '5', '20210503 05:25:36']
['501', 'Linden', '1', '20210503 05:26:26']
['502', 'Wilson', '5', '20210503 05:26:31']
['503', 'Davis', '5', '20210503 05:26:18']
['501', 'Linden', '1', '20210503 05:27:22']
['503', 'Davis', '5', '20210503 05:27:21']
['504', 'Main', '1', '20210503 05:27:32']
['503', 'Dempster', '5', '20210503 05:27:43']
['504', 'Main', '1', '20210503 05:27:32']
['502', 'Sheridan', '5', '20210503 05:29:05']
['503', 'Main', '5', '20210503 05:29:12']
['502', 'Sheridan', '5', '20210503 05:30:37']
['503', 'Main', '5', '20210503 05:29:12']
['503', 'South Boulevard', '5', '20210503 05:31:15']
['504', 'Davis', '1', '20210503 05:31:36']
['503', 'Howard', '5', '20210503 05:32:23']
['502', 'Belmont', '5', '20210503 05:33:37']
['504', 'Noyes', '1', '20210503 05:33:21']
['502', 'Wellington', '5', '20210503 05:33:51']
['501', 'Central', '5', '20210503 05:35:02']
['502', 'Diversey', '5', '20210503 05:35:35']
['504', 'Central', '1', '20210503 05:35:36']
['501', 'Central', '5', '20210503 05:35:57']
['501', 'Noyes', '5', '20210503 05:36:45']
['502', 'Fullerton', '5', '20210503 05:37:39']
['504', 'Linden', '1', '20210503 05:36:58']
['501', 'Davis', '5', '20210503 05:38:37']
['501', 'Davis', '5', '20210503 05:39:19']
['501', 'Davis', '5', '20210503 05:39:59']
['503', 'Wilson', '5', '20210503 05:40:36']
['501', 'Dempster', '5', '20210503 05:41:29']
['506', 'Main', '1', '20210503 05:41:39']
['501', 'Dempster', '5', '20210503 05:41:29']
['502', 'Sedgwick', '5', '20210503 05:42:29']
['506', 'Main', '1', '20210503 05:41:48']
['501', 'Main', '5', '20210503 05:43:02']
['503', 'Sheridan', '5', '20210503 05:43:17']
['501', 'South Boulevard', '5', '20210503 05:44:28']
['503', 'Sheridan', '5', '20210503 05:43:17']
['506', 'Dempster', '1', '20210503 05:44:22']
['501', 'South Boulevard', '5', '20210503 05:44:58']
['502', 'Chicago', '5', '20210503 05:45:33']
['501', 'Howard', '5', '20210503 05:45:51']
['502', 'Chicago', '5', '20210503 05:46:17']
['503', 'Belmont', '5', '20210503 05:47:02']
['506', 'Foster', '1', '20210503 05:47:18']
['502', 'Merchandise Mart', '5', '20210503 05:48:25']
['503', 'Belmont', '5', '20210503 05:47:02']
['506', 'Noyes', '1', '20210503 05:47:44']
['503', 'Wellington', '5', '20210503 05:49:24']
['503', 'Diversey', '5', '20210503 05:50:36']
['504', 'Central', '5', '20210503 05:49:53']
['502', 'State/Lake', '5', '20210503 05:51:36']
['503', 'Diversey', '5', '20210503 05:51:06']
['504', 'Noyes', '5', '20210503 05:51:30']
['506', 'Linden', '1', '20210503 05:51:37']
['502', 'State/Lake', '5', '20210503 05:52:30']
['504', 'Noyes', '5', '20210503 05:51:30']
['506', 'Linden', '1', '20210503 05:52:34']
['507', 'Main', '1', '20210503 05:52:22']
['502', 'Washington/Wabash', '5', '20210503 05:53:38']
['504', 'Davis', '5', '20210503 05:53:21']
['507', 'Main', '1', '20210503 05:53:26']
['501', 'Wilson', '5', '20210503 05:54:35']
