['501', 'South Boulevard', '5', '20210507 05:00:37']
['503', 'Main', '1', '20210507 05:00:09']
['501', 'Howard', '5', '20210507 05:01:17']
['503', 'Dempster', '1', '20210507 05:01:31']
['503', 'Dempster', '1', '20210507 05:02:27']
['503', 'Noyes', '1', '20210507 05:05:27']
['502', 'Central', '5', '20210507 05:06:49']
['503', 'Linden', '1', '20210507 05:09:38']
['502', 'Davis', '5', '20210507 05:10:21']
['502', 'Davis', '5', '20210507 05:11:14']
['1000', 'South Boulevard', '1', '20210507 05:12:21']
['502', 'Davis', '5', '20210507 05:11:44']
['1000', 'Main', '1', '20210507 05:12:55']
['1000', 'Dempster', '1', '20210507 05:14:23']
['502', 'Dempster', '5', '20210507 05:14:37']
['1000', 'Dempster', '1', '20210507 05:15:22']
['502', 'South Boulevard', '5', '20210507 05:16:15']
['502', 'Howard', '5', '20210507 05:17:30']
['1000', 'Noyes', '1', '20210507 05:18:23']
['502', 'Howard', '5', '20210507 05:18:34']
['1000', 'Central', '5', '20210507 05:20:34']
['501', 'Linden', '1', '20210507 05:21:58']
['503', 'Davis', '5', '20210507 05:23:36']
['503', 'Davis', '5', '20210507 05:24:35']
['503', 'Davis', '5', '20210507 05:25:09']
['503', 'Davis', '5', '20210507 05:26:23']
['502', 'Wilson', '5', '20210507 05:27:31']
['504', 'Main', '1', '20210507 05:27:29']
['504', 'Main', '1', '20210507 05:28:28']
['502', 'Sheridan', '5', '20210507 05:29:37']
['503', 'South Boulevard', '5', '20210507 05:29:34']
['504', 'Dempster', '1', '20210507 05:28:52']
['502', 'Sheridan', '5', '20210507 05:29:37']
['503', 'South Boulevard', '5', '20210507 05:30:09']
['503', 'Howard', '5', '20210507 05:30:44']
['502', 'Belmont', '5', '20210507 05:33:39']
['504', 'Noyes', '1', '20210507 05:33:02']
['502', 'Wellington', '5', '20210507 05:34:04']
['501', 'Central', '5', '20210507 05:35:10']
['502', 'Diversey', '5', '20210507 05:35:29']
['501', 'Central', '5', '20210507 05:36:04']
['502', 'Diversey', '5', '20210507 05:36:24']
['504', 'Linden', '1', '20210507 05:36:39']
['502', 'Fullerton', '5', '20210507 05:37:38']
['504', 'Linden', '1', '20210507 05:37:29']
['501', 'Davis', '5', '20210507 05:38:24']
['501', 'Davis', '5', '20210507 05:39:26']
['502', 'Armitage', '5', '20210507 05:39:39']
['503', 'Wilson', '5', '20210507 05:39:37']
['501', 'Davis', '5', '20210507 05:40:13']
['501', 'Davis', '5', '20210507 05:41:22']
['506', 'South Boulevard', '1', '20210507 05:41:23']
['501', 'Dempster', '5', '20210507 05:41:43']
['502', 'Sedgwick', '5', '20210507 05:42:23']
['503', 'Sheridan', '5', '20210507 05:41:44']
['506', 'Main', '1', '20210507 05:41:57']
['501', 'Main', '5', '20210507 05:43:15']
['506', 'Dempster', '1', '20210507 05:43:24']
['501', 'South Boulevard', '5', '20210507 05:44:36']
['506', 'Dempster', '1', '20210507 05:44:25']
['501', 'South Boulevard', '5', '20210507 05:45:11']
['502', 'Chicago', '5', '20210507 05:45:38']
['503', 'Belmont', '5', '20210507 05:45:15']
['501', 'Howard', '5', '20210507 05:45:53']
['502', 'Chicago', '5', '20210507 05:46:29']
['503', 'Wellington', '5', '20210507 05:46:34']
['503', 'Diversey', '5', '20210507 05:47:39']
['506', 'Noyes', '1', '20210507 05:47:30']
['502', 'Merchandise Mart', '5', '20210507 05:48:10']
['503', 'Diversey', '5', '20210507 05:48:07']
['503', 'Fullerton', '5', '20210507 05:49:18']
['506', 'Central', '1', '20210507 05:49:23']
['502', 'Clark/Lake', '5', '20210507 05:50:38']
