['514', 'Wilson', '0', '5', '20210514 14:44:35']
['515', 'South Boulevard', '1', '5', '20210514 14:41:38']
['520', 'Noyes', '1', '1', '20210514 14:41:30']
['513', 'Armitage', '1', '5', '20210514 14:42:36']
['514', 'Wilson', '0', '5', '20210514 14:44:35']
['515', 'Howard', '1', '5', '20210514 14:42:24']
['520', 'Central', '0', '1', '20210514 14:43:29']
['513', 'Sedgwick', '0', '5', '20210514 14:46:22']
['514', 'Wilson', '0', '5', '20210514 14:48:24']
['515', 'Howard', '1', '5', '20210514 14:42:24']
['519', 'Central', '1', '5', '20210514 14:43:38']
['520', 'Central', '1', '1', '20210514 14:43:23']
['513', 'Sedgwick', '0', '5', '20210514 14:46:39']
['514', 'Wilson', '0', '5', '20210514 14:48:23']
['515', 'Howard', '1', '5', '20210514 14:42:24']
['519', 'Central', '1', '5', '20210514 14:44:28']
['520', 'Linden', '0', '1', '20210514 14:44:47']
['513', 'Sedgwick', '0', '5', '20210514 14:46:01']
['514', 'Wilson', '0', '5', '20210514 14:46:33']
['515', 'Wilson', '0', '5', '20210514 14:54:20']
['519', 'Davis', '0', '5', '20210514 14:46:17']
['520', 'Linden', '1', '1', '20210514 14:45:03']
['513', 'Sedgwick', '0', '5', '20210514 14:46:01']
['514', 'Wilson', '1', '5', '20210514 14:46:30']
['515', 'Wilson', '0', '5', '20210514 14:54:20']
['519', 'Davis', '0', '5', '20210514 14:46:17']
['513', 'Chicago', '0', '5', '20210514 14:49:37']
['514', 'Sheridan', '0', '5', '20210514 14:49:26']
['515', 'Wilson', '0', '5', '20210514 14:54:20']
['519', 'Davis', '1', '5', '20210514 14:47:29']
['506', 'South Boulevard', '1', '1', '20210514 14:47:52']
['513', 'Chicago', '0', '5', '20210514 14:50:08']
['514', 'Sheridan', '0', '5', '20210514 14:49:25']
['515', 'Wilson', '0', '5', '20210514 14:54:20']
['519', 'Davis', '1', '5', '20210514 14:47:50']
['506', 'Main', '1', '1', '20210514 14:49:34']
['513', 'Chicago', '0', '5', '20210514 14:50:34']
['514', 'Sheridan', '1', '5', '20210514 14:49:35']
['515', 'Wilson', '0', '5', '20210514 14:54:15']
['519', 'Davis', '1', '5', '20210514 14:49:14']
['506', 'Dempster', '1', '1', '20210514 14:50:19']
['513', 'Chicago', '1', '5', '20210514 14:50:39']
['514', 'Sheridan', '1', '5', '20210514 14:50:37']
['515', 'Wilson', '0', '5', '20210514 14:52:32']
['519', 'Davis', '1', '5', '20210514 14:50:19']
['506', 'Davis', '0', '1', '20210514 14:52:28']
