['519', 'Main', '1', '20210426 14:07:59']
['518', 'Central', '5', '20210426 14:08:06']
['514', 'Linden', '1', '20210426 14:08:33']
['519', 'Dempster', '1', '20210426 14:10:28']
['518', 'Davis', '5', '20210426 14:11:15']
['518', 'Davis', '5', '20210426 14:12:15']
['519', 'Noyes', '1', '20210426 14:13:36']
['518', 'Dempster', '5', '20210426 14:14:28']
['519', 'Central', '1', '20210426 14:15:33']
['518', 'Main', '5', '20210426 14:16:01']
['513', 'South Boulevard', '5', '20210426 14:17:14']
['518', 'Main', '1', '20210426 14:18:21']
['513', 'Howard', '5', '20210426 14:18:34']
['518', 'Dempster', '1', '20210426 14:18:45']
['518', 'Dempster', '1', '20210426 14:18:45']
['518', 'Dempster', '1', '20210426 14:18:45']
['514', 'Central', '5', '20210426 14:23:07']
['514', 'Central', '5', '20210426 14:24:16']
['514', 'Davis', '5', '20210426 14:26:32']
['514', 'Davis', '5', '20210426 14:27:24']
['518', 'Noyes', '1', '20210426 14:27:09']
['514', 'Davis', '5', '20210426 14:28:18']
['514', 'Davis', '5', '20210426 14:29:26']
['514', 'Dempster', '5', '20210426 14:29:48']
['514', 'Main', '5', '20210426 14:31:26']
['518', 'Linden', '1', '20210426 14:30:42']
['514', 'Main', '5', '20210426 14:32:26']
['515', 'Central', '5', '20210426 14:32:14']
['513', 'Wilson', '5', '20210426 14:33:36']
['514', 'South Boulevard', '5', '20210426 14:33:18']
['515', 'Central', '5', '20210426 14:32:57']
['514', 'Howard', '5', '20210426 14:34:01']
['515', 'Davis', '5', '20210426 14:35:32']
['513', 'Sheridan', '5', '20210426 14:35:55']
['515', 'Davis', '5', '20210426 14:36:13']
['513', 'Sheridan', '5', '20210426 14:37:22']
['515', 'Davis', '5', '20210426 14:36:47']
['515', 'Dempster', '5', '20210426 14:38:22']
['520', 'Main', '1', '20210426 14:38:15']
['515', 'Dempster', '5', '20210426 14:38:22']
['520', 'Main', '1', '20210426 14:39:16']
['513', 'Belmont', '5', '20210426 14:40:36']
['515', 'Main', '5', '20210426 14:39:53']
['520', 'Dempster', '1', '20210426 14:39:42']
['513', 'Wellington', '5', '20210426 14:41:01']
['515', 'South Boulevard', '5', '20210426 14:41:17']
['513', 'Diversey', '5', '20210426 14:42:25']
['514', 'Wilson', '5', '20210426 14:42:33']
['515', 'Howard', '5', '20210426 14:42:25']
['515', 'Howard', '5', '20210426 14:43:35']
['520', 'Foster', '1', '20210426 14:43:31']
['513', 'Fullerton', '5', '20210426 14:44:38']
['514', 'Sheridan', '5', '20210426 14:44:33']
['520', 'Noyes', '1', '20210426 14:43:55']
['514', 'Sheridan', '5', '20210426 14:44:33']
['513', 'Armitage', '5', '20210426 14:46:32']
['506', 'South Boulevard', '1', '20210426 14:47:28']
['519', 'Central', '5', '20210426 14:46:52']
['520', 'Linden', '1', '20210426 14:47:30']
['506', 'Main', '1', '20210426 14:48:05']
['514', 'Belmont', '5', '20210426 14:48:38']
['520', 'Linden', '1', '20210426 14:48:24']
['506', 'Main', '1', '20210426 14:49:27']
['514', 'Wellington', '5', '20210426 14:49:03']
['506', 'Dempster', '1', '20210426 14:49:51']
['514', 'Diversey', '5', '20210426 14:50:30']
['519', 'Davis', '5', '20210426 14:50:25']
['514', 'Diversey', '5', '20210426 14:51:24']
['519', 'Davis', '5', '20210426 14:51:07']
['514', 'Fullerton', '5', '20210426 14:52:38']
['515', 'Wilson', '5', '20210426 14:52:33']
['519', 'Davis', '5', '20210426 14:51:50']
['513', 'Chicago', '5', '20210426 14:53:31']
['515', 'Wilson', '5', '20210426 14:53:34']
['519', 'Dempster', '5', '20210426 14:53:25']
['506', 'Noyes', '1', '20210426 14:54:05']
['513', 'Chicago', '5', '20210426 14:54:23']
['514', 'Armitage', '5', '20210426 14:54:33']
['519', 'Dempster', '5', '20210426 14:53:25']
['513', 'Merchandise Mart', '5', '20210426 14:55:57']
['515', 'Sheridan', '5', '20210426 14:55:45']
['518', 'Central', '5', '20210426 14:55:55']
['519', 'Main', '5', '20210426 14:54:59']
['513', 'Merchandise Mart', '5', '20210426 14:56:26']
['515', 'Sheridan', '5', '20210426 14:55:45']
['518', 'Central', '5', '20210426 14:56:38']
['519', 'South Boulevard', '5', '20210426 14:56:25']
['519', 'South Boulevard', '5', '20210426 14:56:55']
['506', 'Linden', '1', '20210426 14:57:40']
['513', 'Clark/Lake', '5', '20210426 14:58:35']
['514', 'Sedgwick', '5', '20210426 14:58:36']
['519', 'Howard', '5', '20210426 14:57:42']
['513', 'State/Lake', '5', '20210426 14:59:05']
['518', 'Davis', '5', '20210426 14:59:38']
['513', 'State/Lake', '5', '20210426 15:00:34']
['515', 'Belmont', '5', '20210426 15:00:35']
['518', 'Davis', '5', '20210426 15:00:12']
['513', 'Washington/Wabash', '5', '20210426 15:01:39']
['514', 'Chicago', '5', '20210426 15:01:35']
['515', 'Wellington', '5', '20210426 15:01:23']
['518', 'Davis', '5', '20210426 15:01:04']
['508', 'Main', '1', '20210426 15:02:26']
['513', 'Adams/Wabash', '5', '20210426 15:02:10']
['515', 'Wellington', '5', '20210426 15:02:23']
['518', 'Dempster', '5', '20210426 15:02:35']
['508', 'Main', '1', '20210426 15:03:21']
['513', 'Adams/Wabash', '5', '20210426 15:03:27']
['514', 'Merchandise Mart', '5', '20210426 15:03:36']
['515', 'Diversey', '5', '20210426 15:03:15']
['518', 'Dempster', '5', '20210426 15:02:35']
['508', 'Dempster', '1', '20210426 15:03:47']
['515', 'Fullerton', '5', '20210426 15:04:29']
['518', 'Main', '5', '20210426 15:04:07']
['513', 'LaSalle/Van Buren', '5', '20210426 15:05:31']
['515', 'Fullerton', '5', '20210426 15:05:34']
['518', 'South Boulevard', '5', '20210426 15:05:32']
['513', 'LaSalle/Van Buren', '5', '20210426 15:06:36']
['514', 'State/Lake', '5', '20210426 15:06:34']
['515', 'Armitage', '5', '20210426 15:06:34']
['518', 'South Boulevard', '5', '20210426 15:06:02']
['519', 'Wilson', '5', '20210426 15:06:34']
['508', 'Foster', '1', '20210426 15:07:33']
['513', 'Quincy', '5', '20210426 15:07:39']
['518', 'Howard', '5', '20210426 15:06:45']
['508', 'Noyes', '1', '20210426 15:07:47']
['513', 'Washington/Wells', '5', '20210426 15:08:38']
['514', 'Washington/Wabash', '5', '20210426 15:08:27']
['519', 'Sheridan', '5', '20210426 15:08:32']
['520', 'Central', '5', '20210426 15:07:56']
['514', 'Adams/Wabash', '5', '20210426 15:09:11']
