'501', 'Merchandise Mart', '5', '20210423 06:18:31'
'502', 'Diversey', '5', '20210423 06:19:39'
'508', 'Linden', '1', '20210423 06:19:29'
'501', 'State/Lake', '5', '20210423 06:20:39'
'502', 'Diversey', '5', '20210423 06:20:37'
'503', 'Armitage', '1', '20210423 06:20:31'
'504', 'Central', '5', '20210423 06:20:19'
'508', 'Linden', '1', '20210423 06:20:25'
'501', 'State/Lake', '5', '20210423 06:21:05'
'502', 'Fullerton', '5', '20210423 06:21:15'
'503', 'Fullerton', '1', '20210423 06:22:39'
'504', 'Davis', '5', '20210423 06:22:29'
'501', 'Adams/Wabash', '5', '20210423 06:23:31'
'502', 'Armitage', '5', '20210423 06:23:39'
'504', 'Davis', '5', '20210423 06:23:37'
'501', 'Adams/Wabash', '5', '20210423 06:24:00'
'503', 'Wellington', '1', '20210423 06:24:25'
'504', 'Davis', '5', '20210423 06:24:13'
'506', 'Wilson', '5', '20210423 06:24:29'
'509', 'South Boulevard', '1', '20210423 06:24:32'
'501', 'Harold Washington Library-State/Van Buren', '5', '20210423 06:25:34'
'503', 'Belmont', '1', '20210423 06:25:27'
'504', 'Davis', '5', '20210423 06:25:26'
'509', 'Main', '1', '20210423 06:25:09'
'501', 'LaSalle/Van Buren', '5', '20210423 06:26:25'
'504', 'Dempster', '5', '20210423 06:25:48'
'501', 'LaSalle/Van Buren', '5', '20210423 06:27:34'
'502', 'Sedgwick', '5', '20210423 06:27:12'
'504', 'Main', '5', '20210423 06:27:16'
'501', 'Quincy', '5', '20210423 06:28:30'
'502', 'Sedgwick', '5', '20210423 06:27:54'
'504', 'South Boulevard', '5', '20210423 06:28:39'
'501', 'Washington/Wells', '5', '20210423 06:29:23'
'504', 'South Boulevard', '5', '20210423 06:29:11'
'502', 'Chicago', '5', '20210423 06:30:37'
'504', 'Howard', '5', '20210423 06:29:54'
'509', 'Foster', '1', '20210423 06:30:33'
'503', 'Wilson', '1', '20210423 06:31:35'
'506', 'Wellington', '5', '20210423 06:31:34'
'509', 'Noyes', '1', '20210423 06:30:54'
'502', 'Merchandise Mart', '5', '20210423 06:32:36'
'506', 'Wellington', '5', '20210423 06:32:19'
'506', 'Diversey', '5', '20210423 06:33:10'
'507', 'Central', '5', '20210423 06:33:04'
'509', 'Linden', '1', '20210423 06:33:21'
'501', 'Chicago', '1', '20210423 06:34:15'
'506', 'Fullerton', '5', '20210423 06:34:28'
'509', 'Linden', '1', '20210423 06:33:21'
'502', 'State/Lake', '5', '20210423 06:35:39'
'506', 'Fullerton', '5', '20210423 06:35:36'
'507', 'Davis', '5', '20210423 06:35:17'
'509', 'Linden', '1', '20210423 06:35:31'
'506', 'Armitage', '5', '20210423 06:36:39'
'507', 'Davis', '5', '20210423 06:36:19'
'501', 'Sedgwick', '1', '20210423 06:37:37'
'502', 'Washington/Wabash', '5', '20210423 06:37:29'
'507', 'Davis', '5', '20210423 06:37:00'
'502', 'Adams/Wabash', '5', '20210423 06:38:39'
'503', 'South Boulevard', '1', '20210423 06:38:27'
'507', 'Dempster', '5', '20210423 06:38:28'
'502', 'Harold Washington Library-State/Van Buren', '5', '20210423 06:39:36'
'503', 'South Boulevard', '1', '20210423 06:38:27'
'507', 'Dempster', '5', '20210423 06:38:28'
'502', 'LaSalle/Van Buren', '5', '20210423 06:40:33'
'503', 'South Boulevard', '1', '20210423 06:38:27'
'504', 'Wilson', '5', '20210423 06:40:37'
